,func_name,ncalls,tottime,cumtime,avg_time,percall_cumtime,percall_tottime,percall_avg_time
88,"('/fastlane_bot/helpers/univ3calc.py', 195, 'L')",2562,0.0016,0.002,0.0,0.0,0.0,0.0
89,"('/fastlane_bot/helpers/univ3calc.py', 247, 'cpc_params')",2562,0.006,0.0216,0.0,0.0,0.0,0.0
90,"('/fastlane_bot/tools/cpc.py', 417, 'P')",1860,0.0014,0.0016,0.0,0.0,0.0,0.0
91,"('/fastlane_bot/tools/cpc.py', 447, 'is_constant_product')",11252794,1.4922,2.3049,0.0,0.0,0.0,0.0
92,"('/fastlane_bot/tools/cpc.py', 451, 'is_symmetric')",11252794,0.8127,0.8127,0.0,0.0,0.0,0.0
93,"('/fastlane_bot/tools/cpc.py', 463, 'is_unlevered')",7611044,0.8946,0.9418,0.0,0.0,0.0,0.0
94,"('/fastlane_bot/tools/cpc.py', 471, 'set_tokenscale')",44567,0.0145,0.0145,0.0,0.0,0.0,0.0
95,"('/fastlane_bot/utils.py', 41, 'num_format')",427,0.0003,0.0019,0.0,0.0,0.0,0.0
96,"('/fastlane_bot/tools/cpc.py', 722, 'from_pkpp')",2562,0.0133,0.04,0.0,0.0,0.0,0.0
97,"('/fastlane_bot/tools/cpc.py', 761, 'from_univ2')",4619,0.0214,0.0606,0.0,0.0,0.0,0.0
98,"('/fastlane_bot/tools/cpc.py', 816, 'from_univ3')",2562,0.0138,0.0609,0.0,0.0,0.0,0.0
99,"('/fastlane_bot/tools/cpc.py', 851, 'from_carbon')",1758,0.0203,0.0361,0.0,0.0,0.0,0.0
100,"('/fastlane_bot/tools/cpc.py', 1045, 'tknb')",34989,0.0079,0.0107,0.0,0.0,0.0,0.0
101,"('/fastlane_bot/tools/cpc.py', 1052, 'tknq')",34713,0.0077,0.0103,0.0,0.0,0.0,0.0
102,"('/fastlane_bot/tools/cpc.py', 1059, 'tknbp')",794,0.0005,0.0014,0.0,0.0,0.0,0.0
103,"('/fastlane_bot/tools/cpc.py', 1066, 'tknqp')",794,0.0004,0.0013,0.0,0.0,0.0,0.0
104,"('/fastlane_bot/tools/cpc.py', 1073, 'pairp')",451,0.0004,0.002,0.0,0.0,0.0,0.0
105,"('/fastlane_bot/tools/cpc.py', 1094, 'y')",2935600,0.8239,1.4182,0.0,0.0,0.0,0.0
106,"('/fastlane_bot/tools/cpc.py', 1104, 'p')",7398,0.0027,0.0088,0.0,0.0,0.0,0.0
107,"('/fastlane_bot/tools/cpc.py', 1237, 'kbar')",398966,0.1119,0.2101,0.0,0.0,0.0,0.0
108,"('/fastlane_bot/tools/cpc.py', 1268, 'x_min')",3245763,1.1069,2.1743,0.0,0.0,0.0,0.0
109,"('/fastlane_bot/tools/cpc.py', 1300, 'y_min')",2454255,1.0612,3.0341,0.0,0.0,0.0,0.0
110,"('/fastlane_bot/tools/cpc.py', 1309, 'x_max')",823595,0.5111,2.7948,0.0,0.0,0.0,0.0
111,"('/fastlane_bot/tools/cpc.py', 1321, 'y_max')",1087431,0.607,2.3484,0.0,0.0,0.0,0.0
112,"('/fastlane_bot/tools/cpc.py', 1393, 'xyfromp_f')",398966,0.9792,8.2243,0.0,0.0,0.0,0.0
113,"('/fastlane_bot/tools/cpc.py', 1456, 'dxdyfromp_f')",398966,0.2094,8.6304,0.0,0.0,0.0,0.0
114,"('/fastlane_bot/tools/cpc.py', 1564, 'isbigger')",17722,0.004,0.004,0.0,0.0,0.0,0.0
115,"('/fastlane_bot/tools/cpc.py', 1606, '<listcomp>')",36758,0.0078,0.0078,0.0,0.0,0.0,0.0
116,"('/fastlane_bot/tools/cpc.py', 1617, '<dictcomp>')",36758,0.008,0.008,0.0,0.0,0.0,0.0
117,"('/fastlane_bot/tools/cpc.py', 1618, '<dictcomp>')",36758,0.0111,0.0329,0.0,0.0,0.0,0.0
118,"('/fastlane_bot/tools/cpc.py', 1597, '__post_init__')",36758,0.0999,4.1147,0.0,0.0001,0.0,0.0
119,"('/fastlane_bot/tools/cpc.py', 1754, '__iter__')",37161,0.0075,0.0093,0.0,0.0,0.0,0.0
120,"('/fastlane_bot/tools/cpc.py', 1757, '__len__')",35022,0.007,0.0084,0.0,0.0,0.0,0.0
121,"('/fastlane_bot/tools/cpc.py', 1760, '__getitem__')",862,0.0002,0.0002,0.0,0.0,0.0,0.0
122,"('/fastlane_bot/tools/cpc.py', 1770, '<setcomp>')",6,0.0011,0.0028,0.0002,0.0005,0.0002,0.0
123,"('/fastlane_bot/tools/cpc.py', 1766, 'tknys')",6,0.0,0.0028,0.0,0.0005,0.0,0.0
124,"('/fastlane_bot/tools/cpc.py', 1782, '<setcomp>')",6,0.0012,0.0033,0.0002,0.0006,0.0002,0.0
125,"('/fastlane_bot/tools/cpc.py', 1778, 'tknxs')",6,0.0,0.0033,0.0,0.0006,0.0,0.0
126,"('/fastlane_bot/tools/cpc.py', 1790, 'tkns')",6,0.0001,0.0063,0.0,0.001,0.0,0.0
127,"('/fastlane_bot/tools/cpc.py', 2167, '_convert')",36287,0.0216,4.0038,0.0,0.0001,0.0,0.0
128,"('/fastlane_bot/tools/cpc.py', 2216, '<genexpr>')",1348,0.1025,0.1025,0.0001,0.0001,0.0001,0.0
129,"('/fastlane_bot/tools/cpc.py', 2219, '<genexpr>')",1318,0.1046,0.1046,0.0001,0.0001,0.0001,0.0
130,"('/fastlane_bot/tools/cpc.py', 2214, 'bypair')",403,0.024,0.2604,0.0001,0.0006,0.0001,0.0
131,"('/fastlane_bot/tools/cpc.py', 2242, '<genexpr>')",70962,0.0118,0.0144,0.0,0.0,0.0,0.0
132,"('/fastlane_bot/tools/cpc.py', 2245, '<genexpr>')",47970,3.5213,3.5213,0.0001,0.0001,0.0001,0.0
133,"('/fastlane_bot/tools/cpc.py', 2226, 'bypairs')",35481,0.0649,3.8726,0.0,0.0001,0.0,0.0
134,"('/fastlane_bot/tools/cpc.py', 2267, '<genexpr>')",806,0.0007,0.0023,0.0,0.0,0.0,0.0
135,"('/fastlane_bot/tools/cpc.py', 2248, 'byparams')",403,0.0009,0.0102,0.0,0.0,0.0,0.0
136,"('/fastlane_bot/tools/cpc.py', 2734, '<genexpr>')",3727,0.0014,0.0089,0.0,0.0,0.0,0.0
137,"('/fastlane_bot/tools/cpc.py', 2725, 'wrap')",459,0.0007,0.0098,0.0,0.0,0.0,0.0
138,"('/fastlane_bot/tools/cpc.py', 2744, '<genexpr>')",72464,0.0223,3.7546,0.0,0.0001,0.0,0.0
139,"('/fastlane_bot/tools/cpc.py', 2739, 'unwrap')",36758,0.0179,3.7726,0.0,0.0001,0.0,0.0
140,"('/fastlane_bot/tools/cpc.py', 2749, 'cid')",13668,0.0025,0.0025,0.0,0.0,0.0,0.0
141,"('/fastlane_bot/tools/cpc.py', 2761, 'tknx')",1664,0.0005,0.0013,0.0,0.0,0.0,0.0
142,"('/fastlane_bot/tools/cpc.py', 2765, 'tkny')",1498,0.0004,0.0009,0.0,0.0,0.0,0.0
143,"('/fastlane_bot/tools/cpc.py', 2769, 'tknb')",14048,0.0034,0.0081,0.0,0.0,0.0,0.0
144,"('/fastlane_bot/tools/cpc.py', 2773, 'tknq')",14048,0.0031,0.0071,0.0,0.0,0.0,0.0
145,"('/fastlane_bot/tools/cpc.py', 2777, 'tknbp')",343,0.0001,0.0008,0.0,0.0,0.0,0.0
146,"('/fastlane_bot/tools/cpc.py', 2781, 'tknqp')",343,0.0001,0.0006,0.0,0.0,0.0,0.0
147,"('/fastlane_bot/tools/cpc.py', 2785, 'p')",4030,0.0011,0.0052,0.0,0.0,0.0,0.0
148,"('/fastlane_bot/tools/cpc.py', 2812, 'pair')",2358,0.001,0.0035,0.0,0.0,0.0,0.0
149,"('/fastlane_bot/tools/cpc.py', 2821, 'pairp')",343,0.0002,0.0016,0.0,0.0,0.0,0.0
150,"('/fastlane_bot/tools/cpc.py', 2889, 'dxdyfromp_f')",253691,0.1423,5.724,0.0,0.0,0.0,0.0
151,"('/fastlane_bot/tools/simplepair.py', 25, '__post_init__')",8861,0.0052,0.0067,0.0,0.0,0.0,0.0
152,"('/fastlane_bot/tools/simplepair.py', 47, '__str__')",35645,0.0071,0.0071,0.0,0.0,0.0,0.0
153,"('/fastlane_bot/tools/simplepair.py', 50, 'pair')",35645,0.0083,0.0154,0.0,0.0,0.0,0.0
154,"('/fastlane_bot/tools/simplepair.py', 60, 'pairr')",21804,0.0044,0.0044,0.0,0.0,0.0,0.0
155,"('/fastlane_bot/tools/simplepair.py', 105, 'n')",123022,0.0512,0.0764,0.0,0.0,0.0,0.0
156,"('/fastlane_bot/tools/simplepair.py', 112, 'tknb_n')",60717,0.0127,0.0476,0.0,0.0,0.0,0.0
157,"('/fastlane_bot/tools/simplepair.py', 116, 'tknq_n')",60717,0.0143,0.0545,0.0,0.0,0.0,0.0
158,"('/fastlane_bot/tools/simplepair.py', 133, 'isprimary')",60717,0.0367,0.1464,0.0,0.0,0.0,0.0
159,"('/fastlane_bot/tools/simplepair.py', 158, 'primary')",57449,0.0221,0.1811,0.0,0.0,0.0,0.0
160,"('/fastlane_bot/tools/cpcbase.py', 29, '__init__')",13103,0.0107,0.0107,0.0,0.0,0.0,0.0
161,"('/fastlane_bot/utils.py', 219, 'decodeFloat')",10032,0.002,0.002,0.0,0.0,0.0,0.0
162,"('/fastlane_bot/utils.py', 224, 'decode')",10032,0.0034,0.0054,0.0,0.0,0.0,0.0
163,"('/fastlane_bot/utils.py', 315, 'A_')",2508,0.0005,0.0017,0.0,0.0,0.0,0.0
164,"('/fastlane_bot/utils.py', 319, 'B_')",7524,0.0015,0.0057,0.0,0.0,0.0,0.0
165,"('/fastlane_bot/utils.py', 323, 'p_end')",2508,0.0007,0.0041,0.0,0.0,0.0,0.0
166,"('/fastlane_bot/utils.py', 327, 'p_start')",2508,0.0011,0.005,0.0,0.0,0.0,0.0
167,"('/fastlane_bot/utils.py', 476, 'find_latest_timestamped_folder')",1,0.0,0.0002,0.0,0.0002,0.0,0.0
168,"('/fastlane_bot/helpers/submithandler.py', 70, '__post_init__')",6,0.0001,0.0182,0.0,0.003,0.0,0.0
169,"('/fastlane_bot/helpers/txhelpers.py', 254, '__post_init__')",7,0.0002,1.1516,0.0,0.1645,0.0,0.0
170,"('/fastlane_bot/helpers/txhelpers.py', 638, 'get_nonce')",7,0.0,1.119,0.0,0.1599,0.0,0.0
171,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 76, 'curve_container')",459,0.0001,0.0001,0.0,0.0,0.0,0.0
172,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 65, '__init__')",459,0.0006,0.0006,0.0,0.0,0.0,0.0
173,"('/fastlane_bot/tools/optimizer/pairoptimizer.py', 89, '<lambda>')",380190,0.0778,0.1692,0.0,0.0,0.0,0.0
174,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 264, '__post_init__')",2292,0.0048,0.005,0.0,0.0,0.0,0.0
175,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 309, 'new')",2292,0.0044,0.0119,0.0,0.0,0.0,0.0
176,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 352, '<genexpr>')",1176,0.0008,0.0279,0.0,0.0,0.0,0.0
177,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 348, 'to_dicts')",427,0.0004,0.0283,0.0,0.0001,0.0,0.0
178,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 366, '<genexpr>')",1241,0.0017,0.0059,0.0,0.0,0.0,0.0
179,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 354, 'to_df')",447,0.0537,1.9528,0.0001,0.0044,0.0001,0.0
180,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 431, 'to_format')",1301,0.0044,1.9977,0.0,0.0015,0.0,0.0
181,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 534, '<dictcomp>')",447,0.0002,0.0002,0.0,0.0,0.0,0.0
182,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 523, '__post_init__')",447,0.0042,0.0059,0.0,0.0,0.0,0.0
183,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 543, 'p_optimal')",56775,0.0058,0.0058,0.0,0.0,0.0,0.0
184,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 548, 'is_error')",3903,0.0008,0.0008,0.0,0.0,0.0,0.0
185,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 558, 'price')",18776,0.0125,0.0208,0.0,0.0,0.0,0.0
186,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 571, '<genexpr>')",21378,0.0195,0.5371,0.0,0.0,0.0,0.0
187,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 577, '<genexpr>')",21378,0.005,0.5421,0.0,0.0,0.0,0.0
188,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 565, 'dxdyvalues')",2602,0.0049,0.5474,0.0,0.0002,0.0,0.0
189,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 595, '<genexpr>')",10689,0.0015,0.0015,0.0,0.0,0.0,0.0
190,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 593, 'dxvalues')",1301,0.002,0.3046,0.0,0.0002,0.0,0.0
191,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 599, '<genexpr>')",10689,0.0014,0.0014,0.0,0.0,0.0,0.0
192,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 597, 'dyvalues')",1301,0.0015,0.2493,0.0,0.0002,0.0,0.0
193,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 620, '<genexpr>')",3593,0.0046,0.0186,0.0,0.0,0.0,0.0
194,"('/fastlane_bot/tools/optimizer/cpcarboptimizer.py', 610, 'trade_instructions')",1301,0.0067,2.5586,0.0,0.002,0.0,0.0
195,"('/fastlane_bot/tools/optimizer/pairoptimizer.py', 84, '<genexpr>')",3727,0.0008,0.0037,0.0,0.0,0.0,0.0
196,"('/fastlane_bot/tools/optimizer/dcbase.py', 18, 'asdict')",749,0.0004,0.0206,0.0,0.0,0.0,0.0
197,"('/fastlane_bot/tools/optimizer/base.py', 82, '__post_init__')",447,0.0005,0.0014,0.0,0.0,0.0,0.0
198,"('/fastlane_bot/tools/optimizer/base.py', 138, '__float__')",894,0.0006,0.0008,0.0,0.0,0.0,0.0
199,"('/fastlane_bot/tools/optimizer/base.py', 143, 'is_error')",1341,0.0004,0.0004,0.0,0.0,0.0,0.0
200,"('/fastlane_bot/tools/optimizer/base.py', 235, 'goalseek')",459,0.0385,8.7881,0.0001,0.0191,0.0001,0.0
201,"('/fastlane_bot/tools/optimizer/pairoptimizer.py', 95, '<genexpr>')",427041,0.1549,8.6199,0.0,0.0,0.0,0.0
202,"('/fastlane_bot/tools/optimizer/pairoptimizer.py', 95, '<lambda>')",46851,0.0146,8.8072,0.0,0.0002,0.0,0.0
203,"('/fastlane_bot/tools/optimizer/pairoptimizer.py', 128, '<listcomp>')",459,0.0008,0.0051,0.0,0.0,0.0,0.0
204,"('/fastlane_bot/tools/optimizer/pairoptimizer.py', 129, '<listcomp>')",459,0.0006,0.0042,0.0,0.0,0.0,0.0
205,"('/fastlane_bot/tools/optimizer/pairoptimizer.py', 136, '<lambda>')",18682,0.0061,4.0421,0.0,0.0002,0.0,0.0
206,"('/fastlane_bot/tools/optimizer/pairoptimizer.py', 143, '<lambda>')",27710,0.009,4.707,0.0,0.0002,0.0,0.0
207,"('/fastlane_bot/tools/optimizer/pairoptimizer.py', 154, '<lambda>')",894,0.0002,0.0002,0.0,0.0,0.0,0.0
208,"('/fastlane_bot/tools/optimizer/pairoptimizer.py', 54, 'optimize')",459,0.0155,8.9225,0.0,0.0194,0.0,0.0
209,"('/fastlane_bot/modes/pairwise_multi.py', 53, '<listcomp>')",1092,0.0015,0.0015,0.0,0.0,0.0,0.0
210,"('/fastlane_bot/modes/pairwise_multi.py', 57, '<listcomp>')",1092,0.0006,0.0006,0.0,0.0,0.0,0.0
211,"('/fastlane_bot/modes/pairwise_multi.py', 54, '<listcomp>')",1092,0.0008,0.0008,0.0,0.0,0.0,0.0
212,"('/fastlane_bot/modes/pairwise_multi.py', 70, '<listcomp>')",432,0.0015,0.0016,0.0,0.0,0.0,0.0
213,"('/fastlane_bot/modes/pairwise_multi.py', 101, '<listcomp>')",427,0.0002,0.0002,0.0,0.0,0.0,0.0
214,"('/fastlane_bot/modes/pairwise_multi.py', 24, 'find_arbitrage')",6,0.0456,16.0032,0.0076,2.6672,0.0076,0.0013
215,"('/fastlane_bot/modes/pairwise_multi.py', 151, '<listcomp>')",427,0.0031,0.117,0.0,0.0003,0.0,0.0
