,func_name,ncalls,tottime,cumtime,avg_time,percall_cumtime,percall_tottime,percall_avg_time
54,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 285, 'cleanup_token_key')",64051,0.0742,0.0798,0.0,0.0,0.0,0.0
55,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 309, 'handle_token_key_cleanup')",6,0.057,0.2343,0.0095,0.039,0.0095,0.0016
56,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 348, '<listcomp>')",6,0.0021,0.1445,0.0003,0.0241,0.0004,0.0
57,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 343, 'get_pool_data_with_tokens')",6,0.0,0.1445,0.0,0.0241,0.0,0.0
58,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 374, '<dictcomp>')",8435,0.0376,0.053,0.0,0.0,0.0,0.0
59,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 353, 'create_pool_and_tokens')",8435,0.0488,0.1282,0.0,0.0,0.0,0.0
60,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 418, 'get_tokens')",6,0.0093,0.0896,0.0016,0.0149,0.0016,0.0003
61,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/events/interface.py', 434, 'create_token')",16870,0.032,0.0434,0.0,0.0,0.0,0.0
62,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/poolandtokens.py', 127, '__post_init__')",8435,0.0065,0.0065,0.0,0.0,0.0,0.0
63,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/poolandtokens.py', 139, 'to_cpc')",8435,0.0156,0.741,0.0,0.0001,0.0,0.0
64,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/poolandtokens.py', 159, '_params')",9689,0.0075,0.0075,0.0,0.0,0.0,0.0
65,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/poolandtokens.py', 173, '_other_to_cpc')",4619,0.0175,0.1195,0.0,0.0,0.0,0.0
66,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/poolandtokens.py', 251, 'decimal_converter')",2508,0.0017,0.0017,0.0,0.0,0.0,0.0
67,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/poolandtokens.py', 205, '_carbon_to_cpc')",1254,0.0409,0.105,0.0,0.0001,0.0,0.0
68,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/poolandtokens.py', 312, '_univ3_to_cpc')",2562,0.0189,0.4203,0.0,0.0002,0.0,0.0
69,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/poolandtokens.py', 352, 'convert_decimals')",9238,0.0107,0.0107,0.0,0.0,0.0,0.0
70,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/poolandtokens.py', 370, '<lambda>')",49913,0.0115,0.0133,0.0,0.0,0.0,0.0
71,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/poolandtokens.py', 371, '<dictcomp>')",6377,0.0083,0.0216,0.0,0.0,0.0,0.0
72,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/poolandtokens.py', 365, '_convert_to_float')",6377,0.0055,0.0274,0.0,0.0,0.0,0.0
73,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 48, 'from_dict')",2562,0.0026,0.3112,0.0,0.0001,0.0,0.0
74,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 371, '__post_init__')",8861,0.0302,0.061,0.0,0.0,0.0,0.0
75,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 82, '<dictcomp>')",2562,0.2284,0.2284,0.0001,0.0001,0.0001,0.0
76,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 76, '__post_init__')",2562,0.0186,0.3051,0.0,0.0001,0.0,0.0
77,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 114, 'pair')",2562,0.0007,0.0007,0.0,0.0,0.0,0.0
78,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 119, 'fee')",2562,0.0004,0.0004,0.0,0.0,0.0,0.0
79,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 124, 'ticksize')",7686,0.0011,0.0011,0.0,0.0,0.0,0.0
80,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 129, 'tickab')",2562,0.0016,0.0028,0.0,0.0,0.0,0.0
81,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 135, 'tkn0dec')",12810,0.0012,0.0012,0.0,0.0,0.0,0.0
82,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 140, 'tkn1dec')",12810,0.0011,0.0011,0.0,0.0,0.0,0.0
83,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 145, 'papb_raw')",2562,0.0012,0.0039,0.0,0.0,0.0,0.0
84,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 151, 'papb_tkn1_per_tkn0')",2562,0.0016,0.0082,0.0,0.0,0.0,0.0
85,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 164, 'dec_factor_wei0_per_wei1')",7686,0.0027,0.004,0.0,0.0,0.0,0.0
86,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 170, '_price_f')",2562,0.0018,0.0018,0.0,0.0,0.0,0.0
87,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 175, 'price_tkn1_per_tkn0')",2562,0.0011,0.0041,0.0,0.0,0.0,0.0
88,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 195, 'L')",2562,0.0016,0.002,0.0,0.0,0.0,0.0
89,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/helpers/univ3calc.py', 247, 'cpc_params')",2562,0.006,0.0216,0.0,0.0,0.0,0.0
90,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 417, 'P')",1860,0.0014,0.0016,0.0,0.0,0.0,0.0
91,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 447, 'is_constant_product')",11252794,1.4922,2.3049,0.0,0.0,0.0,0.0
92,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 451, 'is_symmetric')",11252794,0.8127,0.8127,0.0,0.0,0.0,0.0
93,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 463, 'is_unlevered')",7611044,0.8946,0.9418,0.0,0.0,0.0,0.0
94,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 471, 'set_tokenscale')",44567,0.0145,0.0145,0.0,0.0,0.0,0.0
95,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/utils.py', 41, 'num_format')",427,0.0003,0.0019,0.0,0.0,0.0,0.0
96,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 722, 'from_pkpp')",2562,0.0133,0.04,0.0,0.0,0.0,0.0
97,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 761, 'from_univ2')",4619,0.0214,0.0606,0.0,0.0,0.0,0.0
98,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 816, 'from_univ3')",2562,0.0138,0.0609,0.0,0.0,0.0,0.0
99,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 851, 'from_carbon')",1758,0.0203,0.0361,0.0,0.0,0.0,0.0
100,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1045, 'tknb')",34989,0.0079,0.0107,0.0,0.0,0.0,0.0
101,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1052, 'tknq')",34713,0.0077,0.0103,0.0,0.0,0.0,0.0
102,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1059, 'tknbp')",794,0.0005,0.0014,0.0,0.0,0.0,0.0
103,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1066, 'tknqp')",794,0.0004,0.0013,0.0,0.0,0.0,0.0
104,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1073, 'pairp')",451,0.0004,0.002,0.0,0.0,0.0,0.0
105,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1094, 'y')",2935600,0.8239,1.4182,0.0,0.0,0.0,0.0
106,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1104, 'p')",7398,0.0027,0.0088,0.0,0.0,0.0,0.0
107,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1237, 'kbar')",398966,0.1119,0.2101,0.0,0.0,0.0,0.0
108,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1268, 'x_min')",3245763,1.1069,2.1743,0.0,0.0,0.0,0.0
109,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1300, 'y_min')",2454255,1.0612,3.0341,0.0,0.0,0.0,0.0
110,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1309, 'x_max')",823595,0.5111,2.7948,0.0,0.0,0.0,0.0
111,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1321, 'y_max')",1087431,0.607,2.3484,0.0,0.0,0.0,0.0
112,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1393, 'xyfromp_f')",398966,0.9792,8.2243,0.0,0.0,0.0,0.0
113,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1456, 'dxdyfromp_f')",398966,0.2094,8.6304,0.0,0.0,0.0,0.0
114,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1564, 'isbigger')",17722,0.004,0.004,0.0,0.0,0.0,0.0
115,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1606, '<listcomp>')",36758,0.0078,0.0078,0.0,0.0,0.0,0.0
116,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1617, '<dictcomp>')",36758,0.008,0.008,0.0,0.0,0.0,0.0
117,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1618, '<dictcomp>')",36758,0.0111,0.0329,0.0,0.0,0.0,0.0
118,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1597, '__post_init__')",36758,0.0999,4.1147,0.0,0.0001,0.0,0.0
119,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1754, '__iter__')",37161,0.0075,0.0093,0.0,0.0,0.0,0.0
120,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1757, '__len__')",35022,0.007,0.0084,0.0,0.0,0.0,0.0
121,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1760, '__getitem__')",862,0.0002,0.0002,0.0,0.0,0.0,0.0
122,"('/Users/mikewcasale/Documents/GitHub/bancorprotocol/fastlane-bot/fastlane_bot/tools/cpc.py', 1770, '<setcomp>')",6,0.0011,0.0028,0.0002,0.0005,0.0002,0.0
