cid,strategy_id,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,timestamp,tkn0_balance,tkn1_balance,liquidity,sqrt_price_q96,tick,tick_spacing,exchange,pool_type,tkn0_weight,tkn1_weight,tkn2_address,tkn2_decimals,tkn2_symbol,tkn2_balance,tkn2_weight,tkn3_address,tkn3_decimals,tkn3_symbol,tkn3_balance,tkn3_weight,tkn4_address,tkn4_decimals,tkn4_symbol,tkn4_balance,tkn4_weight,tkn5_address,tkn5_decimals,tkn5_symbol,tkn5_balance,tkn5_weight,tkn6_address,tkn6_decimals,tkn6_symbol,tkn6_balance,tkn6_weight,tkn7_address,tkn7_decimals,tkn7_symbol,tkn7_balance,tkn7_weight,y_0,y_1,z_0,z_1,A_0,A_1,B_0,B_1
0x885E87554cd48F05BBA88Ad2A5b7348d1F42C2D5,0,,51471881,hyperjump_v2 0xB2B947d87A68a7d070c8e2e6c7d2b572DeaB9F10/0xDD0bf5a8d00d9284169359db365b46e3B7C2f8Cb,0xB2B947d87A68a7d070c8e2e6c7d2b572DeaB9F10/0xDD0bf5a8d00d9284169359db365b46e3B7C2f8Cb,hyperjump_v2,0.002,0.002,0x885E87554cd48F05BBA88Ad2A5b7348d1F42C2D5,,0xB2B947d87A68a7d070c8e2e6c7d2b572DeaB9F10,0xDD0bf5a8d00d9284169359db365b46e3B7C2f8Cb,9,9,3,TVND,TDP,0,0,0,,,,,hyperjump_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x375597AFe2B107dA63b65e22307da5e4b8EE1718,0,,51472111,hyperjump_v2 0x48917aFF358EC1D3d744ea9eB6A149D7540923f6/0xDD0bf5a8d00d9284169359db365b46e3B7C2f8Cb,0x48917aFF358EC1D3d744ea9eB6A149D7540923f6/0xDD0bf5a8d00d9284169359db365b46e3B7C2f8Cb,hyperjump_v2,0.002,0.002,0x375597AFe2B107dA63b65e22307da5e4b8EE1718,,0x48917aFF358EC1D3d744ea9eB6A149D7540923f6,0xDD0bf5a8d00d9284169359db365b46e3B7C2f8Cb,9,9,3,TUT,TDP,0,0,0,,,,,hyperjump_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xB0110C934854DCE8183c6c4e6c5ad538E024B903,0,,51472255,hyperjump_v2 0x48917aFF358EC1D3d744ea9eB6A149D7540923f6/0xB2B947d87A68a7d070c8e2e6c7d2b572DeaB9F10,0x48917aFF358EC1D3d744ea9eB6A149D7540923f6/0xB2B947d87A68a7d070c8e2e6c7d2b572DeaB9F10,hyperjump_v2,0.002,0.002,0xB0110C934854DCE8183c6c4e6c5ad538E024B903,,0x48917aFF358EC1D3d744ea9eB6A149D7540923f6,0xB2B947d87A68a7d070c8e2e6c7d2b572DeaB9F10,9,9,3,TUT,TVND,0,0,0,,,,,hyperjump_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x8Aa4E22aDAb9D424a6AEd55ad722769Ab78c1303,0,,51472798,hyperjump_v2 0xb14b4242ff7f6e27d0aaF4924eEF66dcDA13Fb7a/0xF5B94036917F5Aef15667Ef814F1D51DfDD75D6E,0xb14b4242ff7f6e27d0aaF4924eEF66dcDA13Fb7a/0xF5B94036917F5Aef15667Ef814F1D51DfDD75D6E,hyperjump_v2,0.002,0.002,0x8Aa4E22aDAb9D424a6AEd55ad722769Ab78c1303,,0xb14b4242ff7f6e27d0aaF4924eEF66dcDA13Fb7a,0xF5B94036917F5Aef15667Ef814F1D51DfDD75D6E,9,9,3,CVND,RPR,0,0,0,,,,,hyperjump_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7408fc2434910D25091370B01Ec7B16096a51B35,0,,51472964,hyperjump_v2 0x37dCC34373188990DB7d58E2899e5280144486BD/0xF5B94036917F5Aef15667Ef814F1D51DfDD75D6E,0x37dCC34373188990DB7d58E2899e5280144486BD/0xF5B94036917F5Aef15667Ef814F1D51DfDD75D6E,hyperjump_v2,0.002,0.002,0x7408fc2434910D25091370B01Ec7B16096a51B35,,0x37dCC34373188990DB7d58E2899e5280144486BD,0xF5B94036917F5Aef15667Ef814F1D51DfDD75D6E,9,9,3,USC,RPR,0,0,0,,,,,hyperjump_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xbD42D42636d5B5d218F9964d8F9507b7Ddb3ee17,0,,51472985,hyperjump_v2 0x37dCC34373188990DB7d58E2899e5280144486BD/0xb14b4242ff7f6e27d0aaF4924eEF66dcDA13Fb7a,0x37dCC34373188990DB7d58E2899e5280144486BD/0xb14b4242ff7f6e27d0aaF4924eEF66dcDA13Fb7a,hyperjump_v2,0.002,0.002,0xbD42D42636d5B5d218F9964d8F9507b7Ddb3ee17,,0x37dCC34373188990DB7d58E2899e5280144486BD,0xb14b4242ff7f6e27d0aaF4924eEF66dcDA13Fb7a,9,9,3,USC,CVND,0,0,0,,,,,hyperjump_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x8001a54CE8B762Bf3a5c3Eeeb2Fe61df4bBAa410,0,,51729205,hyperjump_v2 0x9C524bA24E8A8F94Afe6776e8D50fAD0620C0B08/0xB0D4B92A0B85995a44B7423b50F03bA764F90b08,0x9C524bA24E8A8F94Afe6776e8D50fAD0620C0B08/0xB0D4B92A0B85995a44B7423b50F03bA764F90b08,hyperjump_v2,0.002,0.002,0x8001a54CE8B762Bf3a5c3Eeeb2Fe61df4bBAa410,,0x9C524bA24E8A8F94Afe6776e8D50fAD0620C0B08,0xB0D4B92A0B85995a44B7423b50F03bA764F90b08,9,9,3,VNDI,IKA,0,0,0,,,,,hyperjump_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7145f1C7b50d5cCd2100B7E845Cb3F841054e3Bc,0,,51729411,hyperjump_v2 0x364fE6538A7e6eF3343e59d96B4039b39D8fC111/0xB0D4B92A0B85995a44B7423b50F03bA764F90b08,0x364fE6538A7e6eF3343e59d96B4039b39D8fC111/0xB0D4B92A0B85995a44B7423b50F03bA764F90b08,hyperjump_v2,0.002,0.002,0x7145f1C7b50d5cCd2100B7E845Cb3F841054e3Bc,,0x364fE6538A7e6eF3343e59d96B4039b39D8fC111,0xB0D4B92A0B85995a44B7423b50F03bA764F90b08,9,9,3,USDI,IKA,0,0,0,,,,,hyperjump_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x476dC9896B77CB8c08b12dfE1720f366123f43C3,0,,51729492,hyperjump_v2 0x364fE6538A7e6eF3343e59d96B4039b39D8fC111/0x9C524bA24E8A8F94Afe6776e8D50fAD0620C0B08,0x364fE6538A7e6eF3343e59d96B4039b39D8fC111/0x9C524bA24E8A8F94Afe6776e8D50fAD0620C0B08,hyperjump_v2,0.002,0.002,0x476dC9896B77CB8c08b12dfE1720f366123f43C3,,0x364fE6538A7e6eF3343e59d96B4039b39D8fC111,0x9C524bA24E8A8F94Afe6776e8D50fAD0620C0B08,9,9,3,USDI,VNDI,0,0,0,,,,,hyperjump_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xD376e915813919Fd77132e66FAaf134Fc170c5bB,0,,51814320,hyperjump_v2 0x6465C4C79E4b4146f3c457c5B3f57aD49AC7901A/0xD51920D426BFB53e7179F29861554cB9b794dE7d,0x6465C4C79E4b4146f3c457c5B3f57aD49AC7901A/0xD51920D426BFB53e7179F29861554cB9b794dE7d,hyperjump_v2,0.002,0.002,0xD376e915813919Fd77132e66FAaf134Fc170c5bB,,0x6465C4C79E4b4146f3c457c5B3f57aD49AC7901A,0xD51920D426BFB53e7179F29861554cB9b794dE7d,9,9,3,DAT,VNDG,0,0,0,,,,,hyperjump_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
