id,key,symbol,name,address,decimals
126,UMIIE-2D9B,UMIIE,UMIIE COIN,0x12B32f10A499Bf40Db334Efe04226Cca00Bf2D9B,18
127,UMIIE2-056f,UMIIE2,Umiie 2,0x5Ed60A121159481675bAD3e648ba4C89753E056f,18
128,SHIBAGOLD-86De,SHIBAGOLD,SHIBA INU GOLD,0xF062F045B17Fe309521C10Af10d42b4b8d8386De,18
129,WVRH-F456,WVRH,Wrapped Versailles Heroes Token,0xbDc2217B591cEf4D0054ef314ab0EC0bCD69F456,18
130,VRH-44b2,VRH,Versailles Heroes Token,0xeAd482da0793B00bbAe0E34C8cfaE6DAf29a44b2,18
131,MOVIE-1769,MOVIE,MoviePass,0x7a54Fae94B6960D9f7316612EEC179078e911769,18
132,MLD-58d8,MLD,Milady,0xe9558B8409Fd09897564dD35f8eadC49600d58d8,18
133,WOJAK-9aaB,WOJAK,Wojak Coin,0x5026F006B85729a8b14553FAE6af249aD16c9aaB,18
134,CIV-361d,CIV,Civilization,0x37fE0f067FA808fFBDd12891C0858532CFE7361d,18
135,0NE-f4C2,0NE,Stone,0x73A83269b9bbAFC427E76Be0A2C1a1db2a26f4C2,18
136,AKITA-23E6,AKITA,Akita Inu,0x3301Ee63Fb29F863f2333Bd4466acb46CD8323E6,18
137,OGER-8a62,OGER,ogereggs,0x4050066080C0585875DB7e571cDd5039584E8a62,18
138,LUNA-1ea9,LUNA,Wrapped LUNA Token,0xd2877702675e6cEb975b4A1dFf9fb7BAF4C91ea9,18
139,ASCX-3877,ASCX,AscensionX,0x8e617863E033ec82240D7E021D32455e30c33877,18
140,GROGU-7654,GROGU,Grogu Cash,0xa01eC64F828762DDE7Fad11fF11AcA36C30b7654,18
141,sUSD-5f51,sUSD,Synth sUSD,0x57Ab1ec28D129707052df4dF418D58a2D46d5f51,18
142,SPAY-846A,SPAY,Subscription Payment Service,0x790340c6a7e724ebB0173De9bfE4b620431E846A,18
143,FXM-4099,FXM,FLEXME,0xF62E8Ab5196cFb23c0CA657E82A398E2aF9d4099,18
144,UKAN-30Ca,UKAN,Ukan,0x49bc8340ACD3521150d7cCD8a4a3510D2F5130Ca,18
145,GILD-259c,GILD,Gilded,0x4f392A6fA322ab7Dc196689cef9F8547B847259c,18
146,testv3-821e,testv3,testv3,0xd4855a4773dA462848cB73d712DbcB5AD866821e,18
147,CBBGSBF-cfB9,CBBGSBF,CBBG STABLE,0xcd6B681AE0EF3Ab833152c4463b09fe83c24cfB9,18
148,CBBG-53D2,CBBG,Cabbage Coin,0xE19B19955A32Abfb8F903dfBc899AfD0719753D2,18
149,UETH-80b3,UETH,ulock.eth Wrapped Ether,0x395C8dB957d743a62Ac3aAAa4574553bcf2380b3,18
150,ULCK-E629,ULCK,uLock,0x598A754c5D678119E67574Ff811DA61d83c0E629,18
151,WISE-5bd6,WISE,Wise Token,0x66a0f676479Cee1d7373f3DC2e2952778BfF5bd6,18
152,DELTA-20EF,DELTA,DELTA.financial - deep DeFi derivatives,0x9EA3b5b4EC044b70375236A281986106457b20EF,18
153,FNK-48Ad,FNK,Finiko,0xB5FE099475d3030DDe498c3BB6F3854F762A48Ad,18
154,RK:ETH-AA96,RK:ETH,RootKit [Wrapped ETH],0x1df2099f6AbBf0b05C12a61835137D84F10DAA96,18
155,ROOT-570E,ROOT,RootKit,0xCb5f72d37685C3D5aD0bB5F982443BC8FcdF570E,18
156,ETH2POS-1Df9,ETH2POS,Ethereum2Proof-of-stake,0x0698DDA3c390FF92722f9EeD766D8b1727621Df9,18
157,DC-802C,DC,Dcoin,0xb4056171AA3ba32dA1F527431383619b3802802C,18
158,M2-D15C,M2,M2,0x965d79F1A1016B574a62986e13Ca8Ab04DfdD15C,18
159,wPE-881b,wPE,OPES Finance,0xd075e95423C5c4BA1E122CaE0f4CdFA19b82881b,18
160,FXS-64D0,FXS,Frax Share,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,18
161,DBL-8d29,DBL,Diamond Blue,0x292E57D8C8a5744E5b013c0f327C162DD1c18d29,8
162,BLUE-0606,BLUE,Blue Finance,0xBD9D26E318d329962694B6e09de628f6104A0606,8
163,HANU-BCC0,HANU,Hanu Yokia,0x72E5390EDb7727E3d4e3436451DADafF675dBCC0,12
164,MIA-Ce0B,MIA,Mia Neko,0x8D52061af43C52204c717d0610ea8f52F955Ce0B,10
165,GOJ-679A,GOJ,Goji,0xEC4A1c7A4e9Fdc7cc621b548a931c92BC08a679A,10
166,XXi-6df2,XXi,Xi Transfer Coin,0x11E003e9eCC5a2320E8b11098ACd550b928b6df2,7
167,CAW-e452,CAW,A Hunters Dream,0xf3b9569F82B18aEf890De263B84189bd33EBe452,18
168,MC-E5d6,MC,Merit Circle,0x949D48EcA67b17269629c7194F4b727d4Ef9E5d6,18
169,BHNY-0844,BHNY,SBU Honey,0xCc802c45B55581713cEcd1Eb17BE9Ab7fcCb0844,18
170,vUSD-937A,vUSD,vUSD,0x0fc6C0465C9739d4a42dAca22eB3b2CB0Eb9937A,18
171,VOW-46Fb,VOW,Vow,0x1BBf25e71EC48B84d773809B4bA55B6F4bE946Fb,18
172,FEI-87CA,FEI,Fei USD,0x956F47F50A910163D8BF957Cf5846D573E7f87CA,18
173,TRIBE-212B,TRIBE,Tribe,0xc7283b66Eb1EB5FB86327f08e1B5816b0720212B,18
174,PAXG-Af78,PAXG,Paxos Gold,0x45804880De22913dAFE09f4980848ECE6EcbAf78,18
175,BigSB-b6F6,BigSB,BigShortBets,0x131157c6760f78f7dDF877C0019Eba175BA4b6F6,18
176,SUPER-0A55,SUPER,SuperFarm,0xe53EC727dbDEB9E2d5456c3be40cFF031AB40A55,18
177,WAXE-4DFD,WAXE,WAX Economic Token,0x7a2Bc711E19ba6aff6cE8246C546E8c4B4944DFD,8
178,FLOKI-6a2E,FLOKI,FLOKI,0xcf0C122c6b73ff809C693DB761e7BaeBe62b6a2E,9
179,DAPE-7A06,DAPE,Degen Ape,0xB638AB512Dd766cA5e9eB9690fc4D66b663F7A06,18
180,ULS-03ae,ULS,uLockS,0x1cD7605aA2cAAC4403ff421411c097798ddB03ae,18
181,DG-dEDE,DG,DeGate Token,0x53C8395465A84955c95159814461466053DedEDE,18
182,UFO-DC3B,UFO,THE TRUTH,0x249e38Ea4102D0cf8264d3701f1a0E39C4f2DC3B,18
183,eXRD-9414,eXRD,E-RADIX,0x6468e79A80C0eaB0F9A2B574c8d5bC374Af59414,18
184,FOX-e52d,FOX,FOX,0xc770EEfAd204B5180dF6a14Ee197D99d808ee52d,18
185,SAITAMA-27B2,SAITAMA,SAITAMA,0xCE3f08e664693ca792caCE4af1364D5e220827B2,9
186,RAD-64A3,RAD,Radicle,0x31c8EAcBFFdD875c74b94b077895Bd78CF1E64A3,18
187,O-c40f,O,Childhoods End,0xb53ecF1345caBeE6eA1a65100Ebb153cEbcac40f,18
188,ERN-3505,ERN,@EthernityChain $ERN Token,0xBBc2AE13b23d715c30720F079fcd9B4a74093505,18
189,ASTO-4689,ASTO,Altered State Machine Utility Token,0x823556202e86763853b40e9cDE725f412e294689,18
190,scUSD-8858,scUSD,StableCredit,0x20D5BFBa0f5c726AAd09956FD7398Acdac048858,8
191,VOLT-58Ac,VOLT,Volt Inu,0x7db5af2B9624e1b3B4Bb69D6DeBd9aD1016A58Ac,9
192,DEXT-C75a,DEXT,DEXTools,0xfB7B4564402E5500dB5bB6d63Ae671302777C75a,18
193,CULT-5A13,CULT,Cult DAO,0xf0f9D895aCa5c8678f706FB8216fa22957685A13,18
194,ShibDoge-928F,ShibDoge,ShibaDoge,0x6ADb2E268de2aA1aBF6578E4a8119b960E02928F,9
195,ILV-ca0E,ILV,Illuvium,0x767FE9EDC9E0dF98E07454847909b5E959D7ca0E,18
196,UwU-5257,UwU,UwU Lend,0x55C08ca52497e2f1534B59E2917BF524D4765257,18
197,SUSHI-0fE2,SUSHI,SushiToken,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,18
198,SYN-9F29,SYN,Synapse,0x0f2D719407FdBeFF09D87557AbB7232601FD9F29,18
199,PUNK-232A,PUNK,CryptoPunks,0x269616D549D7e8Eaa82DFb17028d0B212D11232A,18
200,MULTI-2df4,MULTI,Multichain,0x65Ef703f5594D2573eb71Aaf55BC0CB548492df4,18
201,TOKE-8C94,TOKE,Tokemak,0x2e9d63788249371f1DFC918a52f8d799F4a38C94,18
202,LON-c952,LON,Tokenlon,0x0000000000095413afC295d19EDeb1Ad7B71c952,18
203,ALCX-c8DF,ALCX,Alchemix,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,18
204,JPEG-45a3,JPEG,JPEG’d Governance Token,0xE80C0cd204D654CEbe8dd64A4857cAb6Be8345a3,18
205,USH-EC48,USH,unshETHing_Token,0xE60779CC1b2c1d0580611c526a8DF0E3f870EC48,18
206,FOLD-5921,FOLD,Manifold Finance,0xd084944d3c05CD115C09d072B9F44bA3E0E45921,18
207,DOG-8899,DOG,The Doge NFT,0xBAac2B4491727D78D2b78815144570b9f2Fe8899,18
208,NEWO-7D96,NEWO,New Order,0x98585dFc8d9e7D48F0b1aE47ce33332CF4237D96,18
209,SPS-df74,SPS,Splintershards,0x00813E3421E1367353BfE7615c7f7f133C89df74,18
210,SPELL-e5F6,SPELL,Spell Token,0x090185f2135308BaD17527004364eBcC2D37e5F6,18
211,RADAR-4DbE,RADAR,DappRadar,0x44709a920fCcF795fbC57BAA433cc3dd53C44DbE,18
212,QUARTZ-25ef,QUARTZ,Sandclock,0xbA8A621b4a54e61C442F5Ec623687e2a942225ef,18
213,THOR-8044,THOR,THORSwap Token,0xa5f2211B9b8170F694421f2046281775E8468044,18
214,DIVER-d5F4,DIVER,DivergenceProtocol,0xFb782396c9b20E564A64896181c7AC8d8979d5F4,18
215,MILADY-EB48,MILADY,Milady Maker,0x227c7DF69D3ed1ae7574A1a7685fDEd90292EB48,18
216,yvBOOST-Ab9a,yvBOOST,Yearn Compounding veCRV yVault,0x9d409a0A012CFbA9B15F6D4B36Ac57A46966Ab9a,18
217,LDO-1B32,LDO,Lido DAO Token,0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,18
218,SOS-aEe0,SOS,SOS,0x3b484b82567a09e2588A13D54D032153f0c0aEe0,18
219,TRU-3784,TRU,TrueFi,0x4C19596f5aAfF459fA38B0f7eD92F11AE6543784,8
220,BLOCKS-24eB,BLOCKS,BLOCKS,0x8a6D4C8735371EBAF8874fBd518b56Edd66024eB,18
221,BADGER-E53d,BADGER,Badger,0x3472A5A71965499acd81997a54BBA8D852C6E53d,18
