id,cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,tkn0_balance,tkn1_balance,z_0,y_0,A_0,B_0,z_1,y_1,A_1,B_1,sqrt_price_q96,tick,tick_spacing,liquidity,address,anchor,fee_float
26,4423670769972200025023869896612986748965,2023-04-26 14:17:53.986742,17130945,carbon_v1 vBNT-7f94/BNT-FF1C None,vBNT-7f94/BNT-FF1C,carbon_v1,0,nan,nan,1027046276694731263152,1027046276694731263152,11425536572939,256950323529445,500000000000000000000,0,14444367486100,267030609224556,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
27,4423670769972200025023869896612986748966,2023-04-26 14:17:53.988353,17130945,carbon_v1 vBNT-7f94/BNT-FF1C None,vBNT-7f94/BNT-FF1C,carbon_v1,0,nan,nan,582963997190096345819,582963997190096345819,13099116608272,268375860102384,500000000000000000000,425964710023690496621,15271736468478,251758872756078,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
28,4423670769972200025023869896612986748976,2023-04-26 14:17:53.989807,17130945,carbon_v1 vBNT-7f94/BNT-FF1C None,vBNT-7f94/BNT-FF1C,carbon_v1,0,nan,nan,500000000000000000000,500000000000000000000,15225700205518,422212465065984,500000000000000000000,500000000000000000000,16260011272663,235498861483415,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
29,4423670769972200025023869896612986748977,2023-04-26 14:17:53.991304,17130945,carbon_v1 vBNT-7f94/BNT-FF1C None,vBNT-7f94/BNT-FF1C,carbon_v1,0,nan,nan,500000000000000000000,500000000000000000000,17997914028924,429825315168743,500000000000000000000,500000000000000000000,17469282048517,218029579434898,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
30,4763953136893138488487244504044754960408,2023-04-26 14:17:53.993834,17130945,carbon_v1 LINK-86CA/USDT-1ec7 None,LINK-86CA/USDT-1ec7,carbon_v1,0,nan,nan,10874600310000000000,10874600310000000000,3816918592930816,5539034656033204,190161820,190161820,10639026,739374276,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
31,5104235503814076951950619111476523171868,2023-04-26 14:17:53.996797,17130945,carbon_v1 vBNT-7f94/USDC-eB48 None,vBNT-7f94/USDC-eB48,carbon_v1,0,nan,nan,0,0,0,0,1568643316,1568643316,32103238,132023466,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
32,5784800237655953878877368326340059594782,2023-04-26 14:17:53.998484,17130945,carbon_v1 RPL-A51f/XCHF-fc08 None,RPL-A51f/XCHF-fc08,carbon_v1,0,nan,nan,17915505804080494069,17915505804080494069,0,0,2000000000000000000000,1243936280931989528054,201865352080192,1052578482527761,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
33,6125082604576892342340742933771827806239,2023-04-26 14:17:54.000626,17130945,carbon_v1 MATIC-eBB0/ARB-4ad1 None,MATIC-eBB0/ARB-4ad1,carbon_v1,0,nan,nan,214054515432510649267,214054515432510649267,43544330437424,422212465065984,100000000000000000000,299557965940950922,58369641661355,235498861483415,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
34,6125082604576892342340742933771827806240,2023-04-26 14:17:54.002479,17130945,carbon_v1 MATIC-eBB0/ARB-4ad1 None,MATIC-eBB0/ARB-4ad1,carbon_v1,0,nan,nan,202580033361367509166,202580033361367509166,54951968265652,422212465065984,100000000000000000000,12760538178735827538,74029518581747,219838984563023,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
35,6465364971497830805804117541203596017697,2023-04-26 14:17:54.004053,17130945,carbon_v1 TSUKA-69eD/USDC-eB48 None,TSUKA-69eD/USDC-eB48,carbon_v1,0,nan,nan,46567342174966,46567342174966,1295443453270648,2149874333928468,0,0,527260079896,1990328647664,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
