cid,last_updated,last_updated_block,address,exchange_name,exchange_id,fee,fee_float,pair_name,tkn0_address,tkn1_address,tkn0_key,tkn1_key,tkn0_symbol,tkn1_symbol,tkn0_decimals,tkn1_decimals,tkn0_balance,tkn1_balance,sqrt_price_q96,tick,tick_spacing,liquidity,z_0,y_0,A_0,B_0,z_1,y_1,A_1,B_1,descr
9fadabf7-81c2-4dab-9b5f-33d063b95c80,2023-05-06 19:24:02.331265,17203475,0xfe439605633F9AFE8EC3e0E075bc12e2A2204C1f,uniswap_v3,4,3000.0,0.003,DAI-1d0F/GTC-163F,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xDe30da39c46104798bB5aA3fe8B9e0e1F348163F,DAI-1d0F,GTC-163F,DAI,GTC,18,18,,,5.70765043646059e+28,-6560.0,60.0,8.74940078836489e+20,,,,,,,,,uniswap_v3 DAI-1d0F/GTC-163F 3000
9fc88ba6-81a7-430e-911a-2a884a2da4f2,2023-05-06 19:28:29.497229,17203475,0x819f3450dA6f110BA6Ea52195B3beaFa246062dE,uniswap_v2,3,0.003,0.003,MATIC-eBB0/WETH-6Cc2,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,MATIC-eBB0,WETH-6Cc2,MATIC,WETH,18,18,6.15214029443362e+23,3.14388184430112e+20,0.0,,,,,,,,,,,,uniswap_v2 MATIC-eBB0/WETH-6Cc2 0.003
a012c3df-f759-4fcd-9823-b77421a9818d,2023-05-06 19:00:25.393230,17203475,0x1a89Ae3BA4F9a97B10bAC6A77061f00bb956858B,uniswap_v3,4,3000.0,0.003,IMPT-1f85/WETH-6Cc2,0x04C17b9D3b29A78F7Bd062a57CF44FC633e71f85,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,IMPT-1f85,WETH-6Cc2,IMPT,WETH,18,18,,,1.26469437465562e+26,-128809.0,60.0,1.91313639726418e+23,,,,,,,,,uniswap_v3 IMPT-1f85/WETH-6Cc2 3000
a01a3f09-bb38-4b7a-9c71-bd8af2c2de2c,2023-05-06 19:06:14.565450,17203475,0x02976320EF83e1413a9307B34C463A19Ab484B5E,uniswap_v3,4,10000.0,0.01,WETH-6Cc2/SAITO-B57B,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xFa14Fa6958401314851A17d6C5360cA29f74B57B,WETH-6Cc2,SAITO-B57B,WETH,SAITO,18,18,,,3.15583062904764e+31,119751.0,200.0,5.82932003428973e+22,,,,,,,,,uniswap_v3 WETH-6Cc2/SAITO-B57B 10000
a020bc72-1d4f-4195-a785-99dccf59c2b9,2023-05-06 19:31:42.794894,17203475,0xf6C4e4f339912541D3f8ED99Dba64a1372AF5E5B,uniswap_v2,3,0.003,0.003,USDT-1ec7/HEZ-8dEE,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xEEF9f339514298C6A857EfCfC1A762aF84438dEE,USDT-1ec7,HEZ-8dEE,USDT,HEZ,6,18,1723984839036.0,3.49914667331532e+23,0.0,,,,,,,,,,,,uniswap_v2 USDT-1ec7/HEZ-8dEE 0.003
a023566e-716a-4294-9ee7-0238924d5ca2,2023-05-06 18:58:59.051526,17203475,0xc66E3c356Be06B344508392fefb9BC658825035D,uniswap_v3,4,100.0,0.0001,BUSD-7C53/USDT-1ec7,0x4Fabb145d64652a948d72533023f6E7A623C7C53,0xdAC17F958D2ee523a2206206994597C13D831ec7,BUSD-7C53,USDT-1ec7,BUSD,USDT,18,6,,,7.91755139699589e+22,-276338.0,1.0,7.97206908984124e+19,,,,,,,,,uniswap_v3 BUSD-7C53/USDT-1ec7 100
a035a513-9317-4335-a0cf-a6583c139acf,2023-05-06 19:50:09.026149,17203475,0x85Cc4d57124D06282620b266be61c6bE83065473,bancor_v2,0,0.003,0.003,BNT-FF1C/HEGIC-8430,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x584bC13c7D411c00c01A62e8019472dE68768430,BNT-FF1C,HEGIC-8430,BNT,HEGIC,18,18,1.831290698298e+21,6.88151622295539e+22,0.0,,,,,,,,,,,,bancor_v2 BNT-FF1C/HEGIC-8430 0.003
a03b605a-ddb3-4b8b-a815-0bc134dc150e,2023-05-06 18:59:43.117501,17203475,0xa68A60b300f292a240C343b8030Dbf5D6Ce603e0,uniswap_v3,4,10000.0,0.01,SDEX-BEeF/USDT-1ec7,0x5DE8ab7E27f6E7A1fFf3E5B337584Aa43961BEeF,0xdAC17F958D2ee523a2206206994597C13D831ec7,SDEX-BEeF,USDT-1ec7,SDEX,USDT,18,6,,,4.80289274658163e+21,-332390.0,200.0,1.22781731469277e+19,,,,,,,,,uniswap_v3 SDEX-BEeF/USDT-1ec7 10000
a03c3cd7-d128-4789-a294-85b55623eede,2023-05-06 19:49:51.422155,17203475,0x1E2FAb153B72B482EeCF6D3763AF8d43Df534171,bancor_v2,0,0.003,0.003,BNT-FF1C/1INCH-C302,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x111111111117dC0aa78b770fA6A738034120C302,BNT-FF1C,1INCH-C302,BNT,1INCH,18,18,3.43128339008323e+21,3.31996204247016e+21,0.0,,,,,,,,,,,,bancor_v2 BNT-FF1C/1INCH-C302 0.003
a062ae50-83ed-4f15-81fa-f5c743173263,2023-05-06 19:33:41.516639,17203475,0xdc98556Ce24f007A5eF6dC1CE96322d65832A819,uniswap_v2,3,0.003,0.003,PICKLE-1Ca5/WETH-6Cc2,0x429881672B9AE42b8EbA0E26cD9C73711b891Ca5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,PICKLE-1Ca5,WETH-6Cc2,PICKLE,WETH,18,18,6.50140053873296e+22,4.22386524242595e+19,0.0,,,,,,,,,,,,uniswap_v2 PICKLE-1Ca5/WETH-6Cc2 0.003
