id,cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,tkn0_balance,tkn1_balance,z_0,y_0,A_0,B_0,z_1,y_1,A_1,B_1,sqrt_price_q96,tick,tick_spacing,liquidity,address,anchor,tkn0,tkn1,tkn0_address,tkn0_decimals,tkn1_address,tkn1_decimals
556,7145929705339707732730866756067132441136,2023-04-23 02:50:58.668663,17105045,uniswap_v3 TRXC-7d8e/WETH-6Cc2 10000,TRXC-7d8e/WETH-6Cc2,uniswap_v3,10000,,,,,,,,,,,873783742684309521982427410370959,186174,200,37934940861246,0xEeE1b38286D23B0c22A475542AA18F2Ef7caDe82,,TRXC-7d8e,WETH-6Cc2,0xaD5Fe5B0B8eC8fF4565204990E4405B2Da117d8e,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18
557,7145929705339707732730866756067132441137,2023-04-23 02:50:59.56694,17105045,uniswap_v3 USDC-eB48/AMPL-A161 3000,USDC-eB48/AMPL-A161,uniswap_v3,3000,,,,,,,,,,,2473509192054352648497818089549,68824,60,10282271414,0xC837fe2E91CC7210EeB6e054EC9dFB9fdc4a26dc,,USDC-eB48,AMPL-A161,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6,0xD46bA6D942050d489DBd938a2C909A5d5039A161,9
558,7145929705339707732730866756067132441138,2023-04-23 02:51:00.45694,17105046,uniswap_v3 UNI-F984/DAI-1d0F 3000,UNI-F984/DAI-1d0F,uniswap_v3,3000,,,,,,,,,,,194773048582238670741807515400,17990,60,885290037619548869381,0x7cf70eD6213F08b70316bD80F7c2ddDc94E41aC5,,UNI-F984,DAI-1d0F,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,18,0x6B175474E89094C44Da98b954EedeAC495271d0F,18
559,7145929705339707732730866756067132441139,2023-04-23 02:51:01.358055,17105046,uniswap_v3 DAO-09Ad/USDC-eB48 3000,DAO-09Ad/USDC-eB48,uniswap_v3,3000,,,,,,,,,,,94212316165523370547117,-272860,60,3692767692123330,0xc840464a8c3324e0bdC9429439DdE3a12205424a,,DAO-09Ad,USDC-eB48,0x0f51bb10119727a7e5eA3538074fb341F56B09Ad,18,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
560,7145929705339707732730866756067132441140,2023-04-23 02:51:02.253694,17105046,uniswap_v3 KRX-7922/WETH-6Cc2 3000,KRX-7922/WETH-6Cc2,uniswap_v3,3000,,,,,,,,,,,4583756418060395706682167525783,81162,60,13320487290412265918,0x843Edd4D2c757A42c0DD7A261d56aaF039124a16,,KRX-7922,WETH-6Cc2,0x93ad9b819C88D98B4c9641470A96E24769Ae7922,9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18
561,7145929705339707732730866756067132441141,2023-04-23 02:51:03.176462,17105046,uniswap_v3 WETH-6Cc2/RARI-41CF 10000,WETH-6Cc2/RARI-41CF,uniswap_v3,10000,,,,,,,,,,,2700003628257585023918075573848,70577,200,9245853899936941904,0x7c7AcbA9E3474985C17f99430A6807C5cA29bB4d,,WETH-6Cc2,RARI-41CF,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,0xFca59Cd816aB1eaD66534D82bc21E7515cE441CF,18
562,7145929705339707732730866756067132441142,2023-04-23 02:51:04.066475,17105047,uniswap_v3 XMON-Bf74/USDC-eB48 10000,XMON-Bf74/USDC-eB48,uniswap_v3,10000,,,,,,,,,,,3860055209609766665402284,-198599,200,3281760471298302,0xd3CA35355106cb8Bc5Fd7C534275509673319D83,,XMON-Bf74,USDC-eB48,0x3aaDA3e213aBf8529606924d8D1c55CbDc70Bf74,18,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
563,7145929705339707732730866756067132441143,2023-04-23 02:51:04.954708,17105047,uniswap_v3 REN-2a38/USDC-eB48 10000,REN-2a38/USDC-eB48,uniswap_v3,10000,,,,,,,,,,,24272864331912373868124,-299985,200,22631731367692757,0x8dD240195b2cD7c0A118166cba02512F52e9E360,,REN-2a38,USDC-eB48,0x408e41876cCCDC0F92210600ef50372656052a38,18,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
564,7145929705339707732730866756067132441144,2023-04-23 02:51:05.886675,17105047,uniswap_v3 RUSH-9eC7/WETH-6Cc2 3000,RUSH-9eC7/WETH-6Cc2,uniswap_v3,3000,,,,,,,,,,,87750618379075005886875264,-136119,60,850086223790222883743,0x90C84337f5F801c38C1F62b2956ceD47bD1282A8,,RUSH-9eC7,WETH-6Cc2,0x382A1667C9062F0621362F49076Ef6e4fE4C9eC7,18,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18
565,7145929705339707732730866756067132441145,2023-04-23 02:51:06.766083,17105047,uniswap_v3 BTRST-2824/WETH-6Cc2 10000,BTRST-2824/WETH-6Cc2,uniswap_v3,10000,,,,,,,,,,,1831655153675478774330588064,-75347,200,94827038359337757674,0x0aBc86C50a3489200060B7226094A04B45924a68,,BTRST-2824,WETH-6Cc2,0x799ebfABE77a6E34311eeEe9825190B9ECe32824,18,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18
566,7145929705339707732730866756067132441146,2023-04-23 02:51:07.659396,17105047,uniswap_v3 AAVE-DaE9/WETH-6Cc2 10000,AAVE-DaE9/WETH-6Cc2,uniswap_v3,10000,,,,,,,,,,,15222437596991775832238633737,-32993,200,1163835827837219472,0x1353fE67fFf8f376762b7034DC9066f0bE15a723,,AAVE-DaE9,WETH-6Cc2,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,18,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18
567,7145929705339707732730866756067132441147,2023-04-23 02:51:08.55129,17105048,uniswap_v3 DAI-1d0F/MATIC-eBB0 3000,DAI-1d0F/MATIC-eBB0,uniswap_v3,3000,,,,,,,,,,,77548899333923941428588446014,-429,60,3606433174161464967316,0x07510b2DD84bF8187063a3c49533663518C2B6b7,,DAI-1d0F,MATIC-eBB0,0x6B175474E89094C44Da98b954EedeAC495271d0F,18,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,18
568,7145929705339707732730866756067132441148,2023-04-23 02:51:09.440876,17105048,uniswap_v3 NSFW-BF19/WETH-6Cc2 10000,NSFW-BF19/WETH-6Cc2,uniswap_v3,10000,,,,,,,,,,,20792573323730818343606198,-164919,200,177123250991468959712264,0xf0dbfEE4c48b06800B4D2ad722cB32E64df13068,,NSFW-BF19,WETH-6Cc2,0x8f006D1e1D9dC6C98996F50a4c810F17a47fBF19,18,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18
