,key,symbol,name,address,decimals,blockchain
81,$OLDHOGE-47E8,$OLDHOGE,$OLDHOGE,0xD3B2A397edC466b08647968E60A0e283466047E8,9.0,ethereum
82,Imori-7709,Imori,Imori,0xD3bd20F8A6612fF2c16355c20943BdcA5FBD7709,9.0,ethereum
83,WILD-7701,WILD,WILD,0xD3C00772B24D997A812249ca637a921e81357701,18.0,ethereum
84,CHIRP-d017,CHIRP,CHIRP,0xd3c4163e18AaEBe43b4fc8B1A53Dc3241fB3d017,18.0,ethereum
85,SUM-3173,SUM,SUM,0xd3C50a4646f870a359f0d446e68dCAeb90eB3173,18.0,ethereum
86,MCONTENT-b3F4,MCONTENT,MCONTENT,0xD3c51de3E6DD9b53D7f37699AFB3EE3Bf9B9b3F4,6.0,ethereum
87,XHT-4329,XHT,XHT,0xD3c625F54dec647DB8780dBBe0E880eF21BA4329,18.0,ethereum
88,CTF-9996,CTF,CTF,0xd3c7C6D328702b6D40751Feb34377FC3B3619996,9.0,ethereum
89,MOOI-e006,MOOI,MOOI,0xd3C89cAC4A4283EDbA6927e2910fD1eBC14fe006,18.0,ethereum
90,BROKIE-dB3A,BROKIE,BROKIE,0xD3c9B067ea0C956D6C956C2BEBbF07023DfbdB3A,18.0,ethereum
91,ECU-0e70,ECU,ECU,0xd3CDc4e75750DC1e59F8342200742B6B29490e70,3.0,ethereum
92,NeverSellInu-B1ef,NeverSellInu,NeverSellInu,0xd3CE0650333feEd1eB08ad717a36E34DE0A0B1ef,9.0,ethereum
93,UNIv2(UNNI/ETH)-3a17,UNIv2(UNNI/ETH),UNIv2(UNNI/ETH),0xd3d2E2692501A5c9Ca623199D38826e513033a17,18.0,ethereum
94,AIKARA-831b,AIKARA,AIKARA,0xD3d908043A206e8e3574A1ea62E94486D562831b,9.0,ethereum
95,$TR-Ee85,$TR,$TR,0xd3DE4D2BafC8Ce8084767220103f954f844FEe85,18.0,ethereum
96,ERROR-436C,ERROR,ERROR,0xd3dEFf001ef67E39212F4973B617C2E684fa436C,18.0,ethereum
97,LKT-BA69,LKT,LKT,0xd3E133a0A14Bb8B595e5Fbf9851c7c783685BA69,18.0,ethereum
98,MNW-f6E4,MNW,MNW,0xd3E4Ba569045546D09CF021ECC5dFe42b1d7f6E4,18.0,ethereum
