cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_key,tkn1_key,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol
5f52d01f-15b4-4172-8b2e-2542e50cf973,2023-05-06 19:33:11.288391,17203475,uniswap_v2 SFI-902c/WETH-6Cc2 0.003,SFI-902c/WETH-6Cc2,uniswap_v2,0.003,0.003,0xC76225124F3CaAb07f609b1D147a31de43926cd6,,0xb753428af26E81097e7fD17f40c88aaA3E04902c,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,SFI-902c,WETH-6Cc2,18,18,3,SFI,WETH
5f872a21-2f62-46f4-8c7f-a32c1c97224f,2023-05-06 19:41:29.173970,17203475,uniswap_v2 WETH-6Cc2/mefi-Ec07 0.003,WETH-6Cc2/mefi-Ec07,uniswap_v2,0.003,0.003,0x10ec40Ad841729707d660437078430947F329984,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe13879194578C6F1A591a96C45B65022c43CEc07,WETH-6Cc2,mefi-Ec07,18,9,3,WETH,mefi
5f913e22-fc7b-4940-9c12-60839a83da85,2023-05-06 19:30:10.182744,17203475,uniswap_v2 TOKU-BD82/WETH-6Cc2 0.003,TOKU-BD82/WETH-6Cc2,uniswap_v2,0.003,0.003,0xaedb115872b041C1E0FEaB1Fb58D766d356BA986,,0x9eEC1A4814323a7396c938bc86aeC46b97F1BD82,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TOKU-BD82,WETH-6Cc2,18,18,3,TOKU,WETH
5f94bca7-e1c6-445a-99b8-66d4ed546c0c,2023-05-06 19:43:19.137166,17203475,uniswap_v2 PEAK-Ad78/USDC-eB48 0.003,PEAK-Ad78/USDC-eB48,uniswap_v2,0.003,0.003,0xa02B22703BBd60cA2145b64ea55dD2Cdd0Bc2a65,,0x630d98424eFe0Ea27fB1b3Ab7741907DFFEaAd78,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,PEAK-Ad78,USDC-eB48,8,6,3,PEAK,USDC
5f977c77-dbdc-4b0f-a406-47a5f07f753f,2023-05-06 18:57:45.054301,17203475,uniswap_v3 cbETH-9704/WETH-6Cc2 500,cbETH-9704/WETH-6Cc2,uniswap_v3,500.0,0.0005,0x840DEEef2f115Cf50DA625F7368C24af6fE74410,,0xBe9895146f7AF43049ca1c1AE358B0541Ea49704,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,cbETH-9704,WETH-6Cc2,18,18,4,cbETH,WETH
5f9f50ff-6227-4e20-b993-aca7eaaec621,2023-05-06 19:48:11.999027,17203475,uniswap_v2 MRI-c977/WETH-6Cc2 0.003,MRI-c977/WETH-6Cc2,uniswap_v2,0.003,0.003,0xaaE64809138f576B0b50f1d898DD99055327c2D3,,0x0913dDAE242839f8995c0375493f9a1A3Bddc977,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,MRI-c977,WETH-6Cc2,18,18,3,MRI,WETH
5fbd83be-0c23-4941-97fc-bfdea6d49057,2023-05-06 19:09:35.338104,17203475,uniswap_v3 USDC-eB48/BOB-1B0B 500,USDC-eB48/BOB-1B0B,uniswap_v3,500.0,0.0005,0x8fB60298C6Bbafa428494fd2D63d116063Ef32e2,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xB0B195aEFA3650A6908f15CdaC7D92F8a5791B0B,USDC-eB48,BOB-1B0B,6,18,4,USDC,BOB
5fc5f5fb-5db4-4da0-b9e3-0dfeb98f2492,2023-05-06 19:32:44.027573,17203475,uniswap_v2 ZERO-9bf8/WETH-6Cc2 0.003,ZERO-9bf8/WETH-6Cc2,uniswap_v2,0.003,0.003,0x1e11FCAB5BD387bc783F3DD03b379402ee2f9e06,,0x0eC78ED49C2D27b315D462d43B5BAB94d2C79bf8,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ZERO-9bf8,WETH-6Cc2,18,18,3,ZERO,WETH
5fead7e2-769a-4709-a541-a19d4914fa11,2023-05-06 19:38:04.495342,17203475,uniswap_v2 AXI-c39a/WETH-6Cc2 0.003,AXI-c39a/WETH-6Cc2,uniswap_v2,0.003,0.003,0x0F3cE875cd56870EC7915e0Fa247a202685888c5,,0x73EE6D7e6b203125aDd89320E9F343d65ec7c39a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,AXI-c39a,WETH-6Cc2,18,18,3,AXI,WETH
5fef0bb6-2114-4d89-a0f1-d5cf9b2da358,2023-05-06 19:12:04.527446,17203475,uniswap_v3 ARW-34E4/WETH-6Cc2 3000,ARW-34E4/WETH-6Cc2,uniswap_v3,3000.0,0.003,0x475aF30820866eEb5886F42CfCDc11F658a49D2D,,0x351cAa9045D65107b9d311D922D15887cfd634E4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ARW-34E4,WETH-6Cc2,18,18,4,ARW,WETH
5ff16347-d703-431d-861a-b64b095e1382,2023-05-06 19:51:06.816401,17203475,sushiswap_v2 BNB-DD52/WETH-6Cc2 0.003,BNB-DD52/WETH-6Cc2,sushiswap_v2,0.003,0.003,0x36D2b521d708537B98F01Ab8d5207BD8E42b2806,,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,BNB-DD52,WETH-6Cc2,18,18,3,BNB,WETH
5ff5e78e-f366-4ae1-92b8-210f102aa0aa,2023-05-06 19:48:00.168806,17203475,uniswap_v2 cETH-0ED5/WETH-6Cc2 0.003,cETH-0ED5/WETH-6Cc2,uniswap_v2,0.003,0.003,0x7f438878071228319Bd321B170EE16fC92fd6D12,,0x4Ddc2D193948926D02f9B1fE9e1daa0718270ED5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,cETH-0ED5,WETH-6Cc2,8,18,3,cETH,WETH
5fff8c48-c676-4444-a8c2-11c5b7494393,2023-05-06 19:00:58.381819,17203475,uniswap_v3 WETH-6Cc2/GGTK-EF76 3000,WETH-6Cc2/GGTK-EF76,uniswap_v3,3000.0,0.003,0x4ac97Bcc1137bD1C39C1F34cfe5c250cc3CC7f59,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xFA99A87b14B02e2240C79240C5a20F945ca5EF76,WETH-6Cc2,GGTK-EF76,18,18,4,WETH,GGTK
601eb128-82e9-448d-a3f6-c000bf1b8b96,2023-05-06 19:32:35.123188,17203475,uniswap_v2 EQX-8B15/WETH-6Cc2 0.003,EQX-8B15/WETH-6Cc2,uniswap_v2,0.003,0.003,0x09062CE4f20aAc71f8074aC6cF8e6968ABd4d03e,,0xBd3de9a069648c84d27d74d701C9fa3253098B15,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,EQX-8B15,WETH-6Cc2,18,18,3,EQX,WETH
60250f03-4d5e-490b-b0bb-95785f16270d,2023-05-06 19:49:53.933129,17203475,bancor_v2 BNT-FF1C/APW-60c8 0.003,BNT-FF1C/APW-60c8,bancor_v2,0.003,0.003,0x073D987513cA27ae5801f389C6EC5bd8C84909B2,0xBd106861ed0F145ee37993e2fD54056F18C08F77,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x4104b135DBC9609Fc1A9490E61369036497660c8,BNT-FF1C,APW-60c8,18,18,0,BNT,APW
6028f6b0-2a64-437c-b572-6b9cac1f3a2e,2023-05-06 19:41:06.913264,17203475,uniswap_v2 DGVC-7b30/WETH-6Cc2 0.003,DGVC-7b30/WETH-6Cc2,uniswap_v2,0.003,0.003,0x7CDc560CC66126a5Eb721e444abC30EB85408f7A,,0x26E43759551333e57F073bb0772F50329A957b30,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,DGVC-7b30,WETH-6Cc2,18,18,3,DGVC,WETH
60548e2a-c5eb-41cb-abe4-a29ba9820e28,2023-05-06 19:28:26.550721,17203475,uniswap_v2 POLAR-075E/USDC-eB48 0.003,POLAR-075E/USDC-eB48,uniswap_v2,0.003,0.003,0x9bbb5125B8b8CE88528be5F28F09af3cCCEd8dD0,,0x58fcAa970339a9b1f8c0a5b4F3Fcd7af2bA3075E,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,POLAR-075E,USDC-eB48,18,6,3,POLAR,USDC
60b5251b-44f3-4496-ae33-2cc9d13398f1,2023-05-06 19:37:45.085119,17203475,uniswap_v2 WETH-6Cc2/NAME-d842 0.003,WETH-6Cc2/NAME-d842,uniswap_v2,0.003,0.003,0xDfCeC6581Fe2064f48B7821969AeEA555262287E,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe1A4c5BBb704a92599FEdB191f451E0d3a1ed842,WETH-6Cc2,NAME-d842,18,18,3,WETH,NAME
60e6f08c-2556-4548-bbae-071d3600659b,2023-05-06 19:46:45.833602,17203475,uniswap_v2 RVP-D48a/WETH-6Cc2 0.003,RVP-D48a/WETH-6Cc2,uniswap_v2,0.003,0.003,0xee9b50B74A132912cf55e7699Ef3Aa7aE2b00E0C,,0x17EF75AA22dD5f6C2763b8304Ab24f40eE54D48a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,RVP-D48a,WETH-6Cc2,18,18,3,RVP,WETH
60ea6be1-8274-4791-92d1-c8c68c836519,2023-05-06 19:32:08.381013,17203475,uniswap_v2 WETH-6Cc2/eQUAD-7DF2 0.003,WETH-6Cc2/eQUAD-7DF2,uniswap_v2,0.003,0.003,0xb06a5f6615f7cE50478a5c57c651bf5EaD0578b0,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xC28e931814725BbEB9e670676FaBBCb694Fe7DF2,WETH-6Cc2,eQUAD-7DF2,18,18,3,WETH,eQUAD
60f2c8ee-cb76-46be-9cc1-897fcef4aa25,2023-05-06 19:03:52.579418,17203475,uniswap_v3 POOL-844e/WETH-6Cc2 3000,POOL-844e/WETH-6Cc2,uniswap_v3,3000.0,0.003,0xff2bDF3044C601679dEde16f5D4a460B35cebfeE,,0x0cEC1A9154Ff802e7934Fc916Ed7Ca50bDE6844e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,POOL-844e,WETH-6Cc2,18,18,4,POOL,WETH
610675b0-3b76-4e3e-8e6c-21d24f7e4b9b,2023-05-06 19:51:44.954381,17203475,sushiswap_v2 DAI-1d0F/MATIC-eBB0 0.003,DAI-1d0F/MATIC-eBB0,sushiswap_v2,0.003,0.003,0xdB394b854A103564FB320870c9dd53F6C279Ca40,,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,DAI-1d0F,MATIC-eBB0,18,18,3,DAI,MATIC
610f6bdb-d757-491d-b5c7-3781d2e44f38,2023-05-06 19:19:37.624220,17203475,uniswap_v3 SHIB-C4cE/WETH-6Cc2 500,SHIB-C4cE/WETH-6Cc2,uniswap_v3,500.0,0.0005,0x94E4b2E24523CF9B3e631A6943C346dF9687c723,,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,SHIB-C4cE,WETH-6Cc2,18,18,4,SHIB,WETH
