exchange_name,chain,fork,factory_address,router_address,fee,start_block,active
sushiswap_v3,gnosis,uniswap_v3,0xf78031CBCA409F2FB6876BDFDBc1b2df24cF9bEf,N/A,,,
sushiswap_v2,harmony,uniswap_v2,0xc35DADB65012eC5796536bD9864eD8773aBc74C4,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0.003,0,
sushiswap_v2,heco,uniswap_v2,0xc35DADB65012eC5796536bD9864eD8773aBc74C4,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0.003,0,
sushiswap_v3,linea,uniswap_v3,0xc35DADB65012eC5796536bD9864eD8773aBc74C4,0xb1E835Dc2785b52265711e17fCCb0fd018226a6e,,,
agni_v3,mantle,uniswap_v3,0x25780dc8Fc3cfBD75F33bFDAB65e969b603b2035,0x319B69888b0d11cEC22caA5034e25FfFBDc88421,,110692,
butter_v3,mantle,uniswap_v3,0xEECa0a86431A7B42ca2Ee5F479832c3D4a4c2644,0xAe5c0a73bAE513fe5842DbcB8E32fc7E3e30DA57,,22966090,
carbon_v1,mantle,carbon_v1,0x7900f766F06e361FDDB4FdeBac5b138c4EEd8d4A,0x7900f766F06e361FDDB4FdeBac5b138c4EEd8d4A,,,
some_carbon_fork,mantle,carbon_v1,0x3749f6Ef09B0f74CD5324126b02d867A03DEE844,0x3749f6Ef09B0f74CD5324126b02d867A03DEE844,,,
cleopatra_v2,mantle,solidly_v2,0xAAA16c016BF556fcD620328f0759252E29b1AB57,0xAAA45c8F5ef92a000a121d102F4e89278a711Faa,,34705175,
cleopatra_v3,mantle,uniswap_v3,0xAAA32926fcE6bE95ea2c51cB4Fcb60836D320C42,0xAAAE99091Fbb28D400029052821653C1C752483B,,34705175,
fusionx_v2,mantle,uniswap_v2,0xE5020961fA51ffd3662CDf307dEf18F9a87Cce7c,0xDd0840118bF9CCCc6d67b2944ddDfbdb995955FD,0.003,2868,
fusionx_v3,mantle,uniswap_v3,0x530d2766D1988CC1c000C8b7d00334c14B69AD71,0x4bf659cA398A73AaF73818F0c64c838B9e229c08,,2876,
merchantmoe_v2,mantle,uniswap_v2,0x5bEf015CA9424A7C07B68490616a4C1F094BEdEc,0xeaEE7EE68874218c3558b40063c42B82D3E7232a,0.003,29969727,
stratum_v2,mantle,solidly_v2,0x061FFE84B0F9E1669A6bf24548E5390DBf1e03b2,0xE856d35f554A6656d70cCf1B11D4Ae7cEE24F473,,53473852,
velocimeter_v2,mantle,solidly_v2,0x99F9a4A96549342546f9DAE5B2738EDDcD43Bf4C,0xCe30506F6c1Cea34aC704f93d51d55058791E497,0.002,50886,
fraxswap_v2,moonbeam,uniswap_v2,0x51f9DBEd76f5Dcf209817f641b549aa82F35D23F,0xd95fe880d7717f7f20981FE6e41A2315f3EFeAb5,,,
sushiswap_v2,moonbeam,uniswap_v2,0xc35DADB65012eC5796536bD9864eD8773aBc74C4,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0.003,0,
sushiswap_v3,moonbeam,uniswap_v3,0x2ecd58F51819E8F8BA08A650BEA04Fc0DEa1d523,N/A,,,
fraxswap_v2,moonriver,uniswap_v2,0x7FB05Ca29DAc7F5690E9b5AE0aF0415D579D7CD3,0xD8FC27ec222E8d5172CD63aC453C6Dfb7467a3C7,,,
sushiswap_v2,moonriver,uniswap_v2,0xc35DADB65012eC5796536bD9864eD8773aBc74C4,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0.003,0,
sushiswap_v3,moonriver,uniswap_v3,0x2F255d3f3C0A3726c6c99E74566c4b18E36E3ce6,N/A,,,
sushiswap_v2,mumbai,uniswap_v2,0xc35DADB65012eC5796536bD9864eD8773aBc74C4,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0.003,0,
carbon_v1,neon_devnet_testnet,carbon_v1,0xeA4F91d96e317F0F88002b251b5E9614f0644D67,0xeA4F91d96e317F0F88002b251b5E9614f0644D67,,,
sushiswap_v2,okex,uniswap_v2,0xc35DADB65012eC5796536bD9864eD8773aBc74C4,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0.003,0,
balancer,optimism,balancer,BALANCER_VAULT_ADDRESS,0xBA12222222228d8Ba445958a75a0704d566BF2C8,0,0,
beethovenx,optimism,balancer,BALANCER_VAULT_ADDRESS,0xBA12222222228d8Ba445958a75a0704d566BF2C8,,,
fraxswap_v2,optimism,uniswap_v2,0x67a1412d2D6CbF211bb71F8e851b4393b491B10f,0xB9A55F455e46e8D717eEA5E47D2c449416A0437F,,,
sushiswap_v3,optimism,uniswap_v3,0x9c6522117e2ed1fE5bdb72bb0eD5E3f2bdE7DBe0,N/A,NA,85432013,
uniswap_v2,optimism,uniswap_v2,0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0.003,10000835,
uniswap_v3,optimism,uniswap_v3,0x1F98431c8aD98523631AE4a59f267346ea31F984,0xE592427A0AEce92De3Edee1F18E0157C05861564,NA,0,
sushiswap_v2,palm,uniswap_v2,0xc35DADB65012eC5796536bD9864eD8773aBc74C4,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0.003,0,
balancer,polygon,balancer,BALANCER_VAULT_ADDRESS,0xBA12222222228d8Ba445958a75a0704d566BF2C8,0,0,
fraxswap_v2,polygon,uniswap_v2,0x54F454D747e037Da288dB568D4121117EAb34e79,0xE52D0337904D4D0519EF7487e707268E1DB6495F,,,
sushiswap_v2,polygon,uniswap_v2,0xc35DADB65012eC5796536bD9864eD8773aBc74C4,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0.003,11333218,
sushiswap_v3,polygon,uniswap_v3,0x917933899c6a5F8E37F31E19f92CdBFF7e8FF0e2,N/A,NA,41024971,
uniswap_v2,polygon,uniswap_v2,0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0.003,10000835,
uniswap_v3,polygon,uniswap_v3,0x1F98431c8aD98523631AE4a59f267346ea31F984,0xE592427A0AEce92De3Edee1F18E0157C05861564,NA,22757547,
sushiswap_v3,polygon_zkevm,uniswap_v3,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,N/A,,,
carbon_v1,scroll,carbon_v1,0xd876c31fB85f9d413fCa7F34056F62d2c532cB9e,0xd876c31fB85f9d413fCa7F34056F62d2c532cB9e,,,
sushiswap_v3,scroll,uniswap_v3,0x46B3fDF7b5CDe91Ac049936bF0bDb12c5d22202e,0x33d91116e0370970444B0281AB117e161fEbFcdD,,,
sushiswap_v2,telos,uniswap_v2,0xc35DADB65012eC5796536bD9864eD8773aBc74C4,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0.003,0,
sushiswap_v3,thundercore,uniswap_v3,0xc35DADB65012eC5796536bD9864eD8773aBc74C4,0xFB7eF66a7e61224DD6FcD0D7d9C3be5C8B049b9f,,,
