id,cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,tkn0_balance,tkn1_balance,z_0,y_0,A_0,B_0,z_1,y_1,A_1,B_1,sqrt_price_q96,tick,tick_spacing,liquidity,address,anchor,tkn0_address,tkn1_address,tkn0_key,tkn1_key,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol
503,503,2023-05-03 18:10:36.585026,17181880,uniswap_v3 EGG-6a0c/USDT-1ec7 10000,EGG-6a0c/USDT-1ec7,uniswap_v3,10000.0,0.01,,,,,,,,,,,17797241521942440083072,-306192.0,200.0,89409218928148184,0x00a9205611Cc32eC9c0D16Fc58f31B9355eC7adE,,0x65cCD72c0813CE6f2703593B633202a0F3Ca6a0c,0xdAC17F958D2ee523a2206206994597C13D831ec7,EGG-6a0c,USDT-1ec7,18,6,4,EGG,USDT
504,504,2023-05-03 18:10:38.854163,17181880,uniswap_v3 PHA-2f4E/USDT-1ec7 3000,PHA-2f4E/USDT-1ec7,uniswap_v3,3000.0,0.003,,,,,,,,,,,29888986123122288053233,-295822.0,60.0,1071199923884483,0x479745658a6AeC2De6318273944D9549457ba813,,0x6c5bA91642F10282b576d91922Ae6448C9d52f4E,0xdAC17F958D2ee523a2206206994597C13D831ec7,PHA-2f4E,USDT-1ec7,18,6,4,PHA,USDT
505,505,2023-05-03 18:10:41.017383,17181881,uniswap_v3 agEUR-Bce8/USDC-eB48 500,agEUR-Bce8/USDC-eB48,uniswap_v3,500.0,0.0005,,,,,,,,,,,82983310627158441907804,-275398.0,10.0,285461508522247169,0x7ED3F364668cd2b9449a8660974a26A092C64849,,0x1a7e4e63778B4f12a199C062f3eFdD288afCBce8,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,agEUR-Bce8,USDC-eB48,18,6,4,agEUR,USDC
506,506,2023-05-03 18:10:43.220713,17181881,uniswap_v3 USDC-eB48/FIEF-a02D 10000,USDC-eB48/FIEF-a02D,uniswap_v3,10000.0,0.01,,,,,,,,,,,564551899104662817227536164833962520,315600.0,200.0,732822701138385,0x52DD04A9e4279F77e336bb3073374217f0D4448D,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xeA068Fba19CE95f12d252aD8Cb2939225C4Ea02D,USDC-eB48,FIEF-a02D,6,18,4,USDC,FIEF
507,507,2023-05-03 18:10:45.436242,17181881,uniswap_v3 ETHO-7096/USDT-1ec7 10000,ETHO-7096/USDT-1ec7,uniswap_v3,10000.0,0.01,,,,,,,,,,,4295128740,-887272.0,200.0,0,0xdb6A79d7dF4cB14256cd37426C62804A241FB5C2,,0x0b5326Da634f9270FB84481DD6F94d3dC2cA7096,0xdAC17F958D2ee523a2206206994597C13D831ec7,ETHO-7096,USDT-1ec7,18,6,4,ETHO,USDT
508,508,2023-05-03 18:10:47.64161,17181881,uniswap_v3 SPANK-6a18/USDC-eB48 10000,SPANK-6a18/USDC-eB48,uniswap_v3,10000.0,0.01,,,,,,,,,,,6699586700068422762979,-325733.0,200.0,6038983381428405350,0x319679b3Ad00BA361Ce8Be09F9E8b3ee5D415993,,0x42d6622deCe394b54999Fbd73D108123806f6a18,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,SPANK-6a18,USDC-eB48,18,6,4,SPANK,USDC
509,509,2023-05-03 18:10:49.846989,17181881,uniswap_v3 ATC-5c9e/USDT-1ec7 10000,ATC-5c9e/USDT-1ec7,uniswap_v3,10000.0,0.01,,,,,,,,,,,9268857046700187160823468424,-42916.0,200.0,10087938798,0x6143E64EaB73441481c91cE5eC64459296D1a204,,0x0fAD86Cc1b412b330494E350Bf1dC1994AC55c9e,0xdAC17F958D2ee523a2206206994597C13D831ec7,ATC-5c9e,USDT-1ec7,6,6,4,ATC,USDT
510,510,2023-05-03 18:10:51.335592,17181882,uniswap_v3 XYO-E758/DAI-1d0F 3000,XYO-E758/DAI-1d0F,uniswap_v3,3000.0,0.003,,,,,,,,,,,5434913924623549672165744472,-53593.0,60.0,57301774852381592034936,0x9D7e5647CE3c7C2d835F2F5e82C8fDb36B0BB0fe,,0x55296f69f40Ea6d20E478533C15A6B08B654E758,0x6B175474E89094C44Da98b954EedeAC495271d0F,XYO-E758,DAI-1d0F,18,18,4,XYO,DAI
511,511,2023-05-03 18:10:53.028116,17181882,uniswap_v3 LUSD-8bA0/USDT-1ec7 500,LUSD-8bA0/USDT-1ec7,uniswap_v3,500.0,0.0005,,,,,,,,,,,80830090566883232287629,-275924.0,10.0,29562024374533482,0x67e887913B13e280538c169F13D169A659a203de,,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0xdAC17F958D2ee523a2206206994597C13D831ec7,LUSD-8bA0,USDT-1ec7,18,6,4,LUSD,USDT
512,512,2023-05-03 18:10:55.284575,17181882,uniswap_v3 SUM-40b1/USDT-1ec7 3000,SUM-40b1/USDT-1ec7,uniswap_v3,3000.0,0.003,,,,,,,,,,,4200841130620501895235,-335068.0,60.0,38161815370237043,0x689c55be02534aa192f4BBE916c45318CA99798D,,0x043C308BB8a5aE96D0093444be7f56459F1340b1,0xdAC17F958D2ee523a2206206994597C13D831ec7,SUM-40b1,USDT-1ec7,18,6,4,SUM,USDT
513,513,2023-05-03 18:10:57.509352,17181882,uniswap_v3 CPI-ec53/USDT-1ec7 3000,CPI-ec53/USDT-1ec7,uniswap_v3,3000.0,0.003,,,,,,,,,,,56011133512711279085052,-283260.0,60.0,2159826726830551,0xF575C3F86CBf9509DF7F0e1bFAdE34c01388FcE4,,0x2b67D1a87A8D8B280A23e97bC55095215eE0ec53,0xdAC17F958D2ee523a2206206994597C13D831ec7,CPI-ec53,USDT-1ec7,18,6,4,CPI,USDT
