,pair,pair_reverse,exchange_name,exchange,address,address0,address1,symbol0,symbol1,fee,decimal0,decimal1,exchange_version,exchange_id,exchange_type,anchor
108,BNT_GRT,GRT_BNT,bancor,bancor_v2,0x99A1d318aBbD732DDfB0221515F36F0D6ADF3753,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7,BNT,GRT,0.002,18,18,v2,1,Constant Product Pool,0x7F6D555de5baa78946fF2985fdE2dd0535F0f9cB
109,BNT_GTC,GTC_BNT,bancor,bancor_v2,0xa60F9ca3EE2196fb8F4eacAD0cAAB3e9574Ffe59,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xDe30da39c46104798bB5aA3fe8B9e0e1F348163F,BNT,GTC,0.01,18,18,v2,1,Constant Product Pool,0x89c073f05c2e0b57400264bab0d0cA7Fdb7C2408
110,BNT_HEGIC,HEGIC_BNT,bancor,bancor_v2,0x85Cc4d57124D06282620b266be61c6bE83065473,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x584bC13c7D411c00c01A62e8019472dE68768430,BNT,HEGIC,0.002,18,18,v2,1,Constant Product Pool,0x74e152383Dc61D7E7fBcaf50a4835122E763BF1F
111,BNT_ICHI,ICHI_BNT,bancor,bancor_v2,0x4a2F0Ca5E03B2cF81AebD936328CF2085037b63B,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x903bEF1736CDdf2A537176cf3C64579C3867A881,BNT,ICHI,0.01,18,9,v2,1,Constant Product Pool,0x563f6e19197A8567778180F66474E30122FD702A
112,BNT_IDLE,IDLE_BNT,bancor,bancor_v2,0x3aEDE8eC6959D6FB1739785Da10178A25Cb8B377,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x875773784Af8135eA0ef43b5a374AaD105c5D39e,BNT,IDLE,0.002,18,18,v2,1,Constant Product Pool,0x1092d8d818C09a55968180a4383049f91689C2b4
113,BNT_INDEX,INDEX_BNT,bancor,bancor_v2,0x0A3DF697e872aB920f305dB00450c0A372E6C970,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0954906da0Bf32d5479e25f46056d22f08464cab,BNT,INDEX,0.002,18,18,v2,1,Constant Product Pool,0x2787CD82B38897B4DDBd3b6bCfB8D6A029283BB0
114,BNT_KNC,KNC_BNT,bancor,bancor_v2,0x49a5b3f5C7BfFCce8a86C61172527766d6ed1AcB,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200,BNT,KNC,0.001,18,18,v2,1,Constant Product Pool,0x248AFFf1aa83cF860198ddeE14b5b3E8eDb46d47
115,BNT_KTN,KTN_BNT,bancor,bancor_v2,0xcB127a2A085a194A5d8aDDFA308c8F30385f8EBd,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x491E136FF7FF03E6aB097E54734697Bb5802FC1C,BNT,KTN,0.002,18,18,v2,1,Constant Product Pool,0xfb34B6253BF68C4D24885327D5605949904DfF05
116,BNT_LPL,LPL_BNT,bancor,bancor_v2,0x49BfE711fbd3185969AEaa8A0A8a54c63951fA7D,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x99295f1141d58A99e939F7bE6BBe734916a875B8,BNT,LPL,0.05,18,18,v2,1,Constant Product Pool,0x6E93665AD9324364e87A61f055969E10C668Ac56
117,LRC_BNT,BNT_LRC,bancor,bancor_v2,0xDbA6fd466c31FA22538dA75BCD2991AcdBfD526f,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,LRC,BNT,0.003,18,18,v2,1,Constant Product Pool,0xF5A203E16ab9B850b27f1F00C37352b6b7A28339
118,BNT_MANA,MANA_BNT,bancor,bancor_v2,0xbe4B63Cbb413b5d1f71f06bA2309b3dD95712a61,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942,BNT,MANA,0.002,18,18,v2,1,Constant Product Pool,0x79d83B390cF0EDF86B9EFbE47B556Cc6e20926aC
119,BNT_MASK,MASK_BNT,bancor,bancor_v2,0x9a2d4f269a9B5D2a9a7b0635F505BDAB03F2c928,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x69af81e73A73B40adF4f3d4223Cd9b1ECE623074,BNT,MASK,0.002,18,18,v2,1,Constant Product Pool,0xDCDFf3A2Cd440c78854E06c7EF67347FF89D0CaB
120,MATIC_BNT,BNT_MATIC,bancor,bancor_v2,0xe31643eBd9fd29B668c0553C76308a33dECFFA6d,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,MATIC,BNT,0.002,18,18,v2,1,Constant Product Pool,0x8151E0Fbbc10Af5b0F16B413dB0747169e9687d9
121,BNT_MFI,MFI_BNT,bancor,bancor_v2,0x81B5B6feC304349e1B6b852978E99F65077df6C3,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xAa4e3edb11AFa93c41db59842b29de64b72E355B,BNT,MFI,0.002,18,18,v2,1,Constant Product Pool,0x7b09A6156b81a0143a5a003C7EA1324Cbc18C528
122,BNT_MKR,MKR_BNT,bancor,bancor_v2,0x99576816d7E55Bd7C00aB9b867835Ae496c3eFa9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,BNT,MKR,0.01,18,18,v2,1,Constant Product Pool,0xf553E6eA4CE2F7dEEcbe7837E27931850eC15faB
123,MLN_BNT,BNT_MLN,bancor,bancor_v2,0x378E0279431Db7D255918b8C53b14C1aCfd90106,0xec67005c4E498Ec7f55E092bd1d35cbC47C91892,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,MLN,BNT,0.003,18,18,v2,1,Constant Product Pool,0xff2CCF332A2d6CD645f93c19690104B99943b13D
124,BNT_MONA,MONA_BNT,bancor,bancor_v2,0xF3d9Dc93C7015C223fc58c98116803b0cD4330E8,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x275f5Ad03be0Fa221B4C6649B8AeE09a42D9412A,BNT,MONA,0.01,18,18,v2,1,Constant Product Pool,0xA864C95EDECb41a2722805087815A5530bA7a160
