id,cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,tkn0_balance,tkn1_balance,z_0,y_0,A_0,B_0,z_1,y_1,A_1,B_1,sqrt_price_q96,tick,tick_spacing,liquidity,address,anchor
5703,0xc4be7ee1e92f6eaebe2b6c46db7eb95e883dc9baa76915812d9b50b83af82b26,2023-06-02 02:48:56.539721,17390200,bancor_v3 BNT-FF1C/vBNT-7f94 0.000,BNT-FF1C/vBNT-7f94,bancor_v3,0.000,0.0,1146979595515227729158592,1661550912894677639387716,,,,,,,,,0,,,,0x48Fb253446873234F2fEBbF9BdeAA72d9d387f94,NaN
5704,1701411834604692317316873037158841057300,2023-06-02 02:48:02.674695,17390195,NaN,ETH-EEeE/USDC-eB48,carbon_v1,0.002,0.002,,,0,0,2995657465959328,4172302982768969,0,0,3368189479,8901020307,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5705,0xc4771395e1389e2e3a12ec22efbb7aff5b1c04e5ce9c7596a82e9dc8fdec725b,2023-06-02 02:48:57.192756,17390200,bancor_v3 BNT-FF1C/USDC-eB48 0.000,BNT-FF1C/USDC-eB48,bancor_v3,0.000,0.0,2699030774764681370452679,1113027296532,,,,,,,,,0,,,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,NaN
5706,0xb74760337ee84865165dd25ec67543cfe3c7bed01d3dbc3d2bb855df3912a86a,2023-06-02 02:48:54.774068,17390200,uniswap_v3 USDC-eB48/TSUKA-69eD 10000,USDC-eB48/TSUKA-69eD,uniswap_v3,10000,0.01,,,,,,,,,,,12875163774037333733454403259136,101819,200,964234010426,0x216fB666dd61600e74F7B2cA25A38Aa99DB1a4E9,NaN
5707,1701411834604692317316873037158841057306,2023-06-02 02:48:03.389233,17390195,NaN,ETH-EEeE/USDC-eB48,carbon_v1,0.002,0.002,,,0,0,2689878730660032,4414201427359729,5000000000,5000000000,0,10550619334,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5708,0x748ab2bef0d97e5a044268626e6c9c104bab818605d44f650fdeaa03a3c742d2,2023-06-02 02:48:57.850719,17390200,bancor_v3 BNT-FF1C/ETH-EEeE 0.000,BNT-FF1C/ETH-EEeE,bancor_v3,0.000,0.0,16494616536134351185930638,3637618221810189884715,,,,,,,,,0,,,,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,NaN
5709,1701411834604692317316873037158841057307,2023-06-02 02:48:04.099309,17390195,NaN,ETH-EEeE/USDC-eB48,carbon_v1,0.002,0.002,,,0,0,2957617717098016,4407379944398141,0,0,325482628,12008132901,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5710,0x763d5e8091f13d62a949a975471a61832f994d4fa7d8c06ee95debd9d051ed14,2023-06-02 02:48:55.696051,17390200,uniswap_v3 WETH-6Cc2/RPL-A51f 3000,WETH-6Cc2/RPL-A51f,uniswap_v3,3000,0.003,,,,,,,,,,,490864165493241240407469762150,36478,60,183152674444029756940896,0xe42318eA3b998e8355a3Da364EB9D48eC725Eb45,NaN
5711,3743106036130323098097120681749450326030,2023-06-02 02:49:04.151422,17390201,NaN,ETH-EEeE/BNT-FF1C,carbon_v1,0.002,0.002,,,50000000000000000,50000000000000000,0,3980657295328,500000000000000000000,500000000000000000000,0,1965262797370078,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5712,1701411834604692317316873037158841057315,2023-06-02 02:48:04.814989,17390195,NaN,ETH-EEeE/USDC-eB48,carbon_v1,0.002,0.002,,,0,0,0,0,0,0,0,0,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5713,0xd16316f4a13adf79a9a789e43c8d66baddb7beb53f17be1ded15f267e3c32971,2023-06-02 02:48:56.595889,17390200,uniswap_v3 LINK-86CA/USDT-1ec7 3000,LINK-86CA/USDT-1ec7,uniswap_v3,3000,0.003,,,,,,,,,,,196827651118290516362746,-258124,60,7826207538959426,0xac5A2c404EbBa22a869998089AC7893ff4E1F0a7,NaN
5714,3743106036130323098097120681749450326031,2023-06-02 02:49:04.869722,17390201,NaN,BNT-FF1C/ETH-EEeE,carbon_v1,0.002,0.002,,,500000000000000000000,500000000000000000000,0,1604061502893966,150000000000000000,150000000000000000,0,3980657295328,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5715,1701411834604692317316873037158841057353,2023-06-02 02:48:05.527555,17390195,NaN,ETH-EEeE/USDC-eB48,carbon_v1,0.002,0.002,,,8234699908250059249,8234699908250059249,0,4411937181908343,7851133629,0,0,12119777774,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5716,0x6476cf0c29bcd27af3b6b61c44faa32c552f0d56ec1d91ed2e55382eb5b64546,2023-06-02 02:48:57.522724,17390200,uniswap_v3 eRSDL-D3A6/WETH-6Cc2 3000,eRSDL-D3A6/WETH-6Cc2,uniswap_v3,3000,0.003,,,,,,,,,,,103072172875585881888953371,-132900,60,52325996526181890733,0x6Ae34e9cabaAd597516c512a21C107e8701E2f33,NaN
5717,3743106036130323098097120681749450326034,2023-06-02 02:49:05.586617,17390201,NaN,BNT-FF1C/ETH-EEeE,carbon_v1,0.002,0.002,,,200000000000000000000,200000000000000000000,0,1599321369715856,70000000000000000,70000000000000000,0,3980657295328,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5718,1701411834604692317316873037158841057331,2023-06-02 02:48:06.238677,17390195,NaN,ETH-EEeE/USDC-eB48,carbon_v1,0.002,0.002,,,2950064372499393400,2950064372499393400,3239244837475872,4405262671506063,10000000000,4768158155,336461286,11605510599,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5719,3743106036130323098097120681749450326076,2023-06-02 02:49:06.305004,17390201,NaN,BNT-FF1C/ETH-EEeE,carbon_v1,0.002,0.002,,,799634527532660295842,799634527532660295842,431269233004800,1958511393548182,200000000000000000,2882724874542864,116541993865,4360591588697,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5720,1701411834604692317316873037158841057334,2023-06-02 02:48:06.949148,17390195,NaN,ETH-EEeE/USDC-eB48,carbon_v1,0.002,0.002,,,40000000000000000,40000000000000000,0,4414201427359729,50000000,50000000,0,11605510599,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5721,0x64f0e869be2e7e19db0dcd9d7dd3872fd29868594d8014fa80ec69629530f8aa,2023-06-02 02:48:58.436688,17390200,uniswap_v3 ETH2x_FLI-65BD/WETH-6Cc2 3000,ETH2x_FLI-65BD/WETH-6Cc2,uniswap_v3,3000,0.003,,,,,,,,,,,6492887261747140161167986756,-50035,60,15975501949908289134791,0x151CcB92bc1eD5c6D0F9Adb5ceC4763cEb66AC7f,NaN
5722,3743106036130323098097120681749450326077,2023-06-02 02:49:07.0216,17390201,NaN,BNT-FF1C/ETH-EEeE,carbon_v1,0.002,0.002,,,0,0,67529602313984,1961605126121825,0,0,35462792969,4450510153742,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5723,1701411834604692317316873037158841057337,2023-06-02 02:48:07.660591,17390195,NaN,ETH-EEeE/USDC-eB48,carbon_v1,0.002,0.002,,,230127045617419578,230127045617419578,3323042531979696,4401237168483787,2000000000,1580517252,847697452,11258999068,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5724,0x756d9e632902f414e914ddcb16b7388f3c405ff3bebb5f95e6d668813bd24802,2023-06-02 02:48:59.390524,17390200,uniswap_v3 WETH-6Cc2/USDT-1ec7 3000,WETH-6Cc2/USDT-1ec7,uniswap_v3,3000,0.003,,,,,,,,,,,3429625214286165670729398,-200963,60,4147808304588586686,0x4e68Ccd3E89f51C3074ca5072bbAC773960dFa36,NaN
5725,1701411834604692317316873037158841057339,2023-06-02 02:48:08.371335,17390195,NaN,ETH-EEeE/USDC-eB48,carbon_v1,0.002,0.002,,,0,0,0,0,1000000,1000000,336461286,11605510599,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5726,3402823669209384634633746074317682114626,2023-06-02 02:49:08.661632,17390201,NaN,PEPE-1933/USDC-eB48,carbon_v1,0.002,0.002,,,0,0,0,9468892374457174,0,0,0,40847,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5727,0x1eda42a2cced5e9cfffe1b15d7c39253514267401c5bd2e9ca28287f8a996fde,2023-06-02 02:49:00.304945,17390200,uniswap_v3 rETH-6393/WETH-6Cc2 500,rETH-6393/WETH-6Cc2,uniswap_v3,500,0.0005,,,,,,,,,,,82082614480977459955591757580,707,10,621515774355129207644151,0xa4e0faA58465A2D369aa21B3e42d43374c6F9613,NaN
5728,15312706511442230855851857334429569515620,2023-06-02 02:49:14.005241,17390202,NaN,PAXG-Af78/USDC-eB48,carbon_v1,0.002,0.002,,,999795803389286127,999795803389286127,1652773131753472,4413961780632971,0,0,95247358,12429598420,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5729,1701411834604692317316873037158841057343,2023-06-02 02:48:09.081688,17390195,NaN,ETH-EEeE/USDC-eB48,carbon_v1,0.002,0.002,,,1000000000000000000,1000000000000000000,0,4414683427557233,0,0,0,0,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5730,2381976568446569244243622252022377480199,2023-06-02 02:49:09.580285,17390201,NaN,USDC-eB48/BNT-FF1C,carbon_v1,0.002,0.002,,,15000000,0,0,363382632,29100000020685479436,29100000020685479436,0,5819312065461623,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5731,0x1a3781959f1146bfbffc4a77c51a917085ce6691b64f4da35f37373645fd83ef,2023-06-02 02:49:01.242844,17390200,uniswap_v3 DAI-1d0F/USDC-eB48 100,DAI-1d0F/USDC-eB48,uniswap_v3,100,0.0001,,,,,,,,,,,79228057031096731610532,-276325,1,537194725350826636672389,0x5777d92f208679DB4b9778590Fa3CAB3aC9e2168,NaN
