id,name,tkn0_address,tkn1_address,tkn0_key,tkn1_key
48,BNT-FF1C/RPL-A51f,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xD33526068D116cE69F19A9ee46F0bd304F21A51f,BNT-FF1C,RPL-A51f
49,BNT-FF1C/SNX-2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,BNT-FF1C,SNX-2a6F
50,BNT-FF1C/TRAC-0A6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xaA7a9CA87d3694B5755f213B5D04094b8d0F0A6F,BNT-FF1C,TRAC-0A6F
51,BNT-FF1C/UNI-F984,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,BNT-FF1C,UNI-F984
52,BNT-FF1C/USDT-1ec7,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdAC17F958D2ee523a2206206994597C13D831ec7,BNT-FF1C,USDT-1ec7
53,BNT-FF1C/MONA-412A,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x275f5Ad03be0Fa221B4C6649B8AeE09a42D9412A,BNT-FF1C,MONA-412A
54,BNT-FF1C/ALPHA-0975,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,BNT-FF1C,ALPHA-0975
55,BNT-FF1C/YFI-d93e,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,BNT-FF1C,YFI-d93e
56,BNT-FF1C/xSUSHI-4272,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x8798249c2E607446EfB7Ad49eC89dD1865Ff4272,BNT-FF1C,xSUSHI-4272
57,BNT-FF1C/wstETH-2Ca0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,BNT-FF1C,wstETH-2Ca0
58,BNT-FF1C/WOO-5D4B,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x4691937a7508860F876c9c0a2a617E7d9E945D4B,BNT-FF1C,WOO-5D4B
59,BNT-FF1C/wNXM-2bDE,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0d438F3b5175Bebc262bF23753C1E53d03432bDE,BNT-FF1C,wNXM-2bDE
60,BNT-FF1C/UMA-F828,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828,BNT-FF1C,UMA-F828
61,BNT-FF1C/TEMP-1aB9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xA36FDBBAE3c9d55a1d67EE5821d53B50B63A1aB9,BNT-FF1C,TEMP-1aB9
62,BNT-FF1C/SHEESHA-E768,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x232FB065D9d24c34708eeDbF03724f2e95ABE768,BNT-FF1C,SHEESHA-E768
63,BNT-FF1C/SATA-bEe1,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x3ebb4A4e91Ad83BE51F8d596533818b246F4bEe1,BNT-FF1C,SATA-bEe1
64,BNT-FF1C/ROOK-3d4a,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a,BNT-FF1C,ROOK-3d4a
65,BNT-FF1C/RNB-e743,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x2A039B1D9bBDccBb91be28691b730ca893e5e743,BNT-FF1C,RNB-e743
66,BNT-FF1C/RLC-7375,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x607F4C5BB672230e8672085532f7e901544a7375,BNT-FF1C,RLC-7375
67,BNT-FF1C/REQ-938a,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x8f8221aFbB33998d8584A2B05749bA73c37a938a,BNT-FF1C,REQ-938a
68,BNT-FF1C/REN-2a38,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x408e41876cCCDC0F92210600ef50372656052a38,BNT-FF1C,REN-2a38
69,BNT-FF1C/RARI-41CF,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xFca59Cd816aB1eaD66534D82bc21E7515cE441CF,BNT-FF1C,RARI-41CF
