cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_key,tkn1_key,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,timestamp,tkn0_balance,tkn1_balance,liquidity,sqrt_price_q96,tick,tick_spacing,exchange,strategy_id
,,0,uniswap_v3 WETH-6Cc2/SNEK-014F 10000,WETH-6Cc2/SNEK-014F,uniswap_v3,10000.0,0.01,0xa54d98B6A52664Cf52b00b8365CD5e1f4a40869e,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe99230a033332fF10fF79E137D3d27A4417d014F,WETH-6Cc2,SNEK-014F,18,18,,WETH,SNEK,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/SLUG-5EE5 10000,WETH-6Cc2/SLUG-5EE5,uniswap_v3,10000.0,0.01,0x47d644A5bbd9826B350e79aBF448535B379D69A0,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xD6C19a5976cEa570aFd0461F7DA71D2128D55EE5,WETH-6Cc2,SLUG-5EE5,18,18,,WETH,SLUG,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/SLP-Aa25 3000,WETH-6Cc2/SLP-Aa25,uniswap_v3,3000.0,0.003,0x0CfBeD8f2248D2735203f602BE0cAe5a3131ec68,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25,WETH-6Cc2,SLP-Aa25,18,0,4.0,WETH,SLP,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/sETH2-043A 500,WETH-6Cc2/sETH2-043A,uniswap_v3,500.0,0.0005,0xDADcF64BAbfb566785f1e9DFC4889C5e593DDdC7,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xFe2e637202056d30016725477c5da089Ab0A043A,WETH-6Cc2,sETH2-043A,18,18,4.0,WETH,sETH2,,,,,,,10.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/sETH2-043A 3000,WETH-6Cc2/sETH2-043A,uniswap_v3,3000.0,0.003,0x7379e81228514a1D2a6Cf7559203998E20598346,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xFe2e637202056d30016725477c5da089Ab0A043A,WETH-6Cc2,sETH2-043A,18,18,4.0,WETH,sETH2,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/SES-afF9 10000,WETH-6Cc2/SES-afF9,uniswap_v3,10000.0,0.01,0x0188c28eA32d7860334bE1a8068CFBaDCE18f1D9,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xE410FBD0977C8a2F276283425de488129f7FafF9,WETH-6Cc2,SES-afF9,18,9,,WETH,SES,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/SDL-6871 10000,WETH-6Cc2/SDL-6871,uniswap_v3,10000.0,0.01,0x498495e3eE98241993304c1A16fcC061CeE6c2F8,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf1Dc500FdE233A4055e25e5BbF516372BC4F6871,WETH-6Cc2,SDL-6871,18,18,4.0,WETH,SDL,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/SDAX-00fd 10000,WETH-6Cc2/SDAX-00fd,uniswap_v3,10000.0,0.01,0xA08D8DDf045F583e2CB3Ef2Ea99900ED60897d0B,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xC7555f6410E983C867748879B2F6d2b0b0e100fd,WETH-6Cc2,SDAX-00fd,18,5,,WETH,SDAX,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/SBLX-5F80 3000,WETH-6Cc2/SBLX-5F80,uniswap_v3,3000.0,0.003,0x49E0C4Cb41351Fe75CC967b8d70f797f9AC90d5f,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf6af18F94d55B8888B557cb3da0Ec623BA245F80,WETH-6Cc2,SBLX-5F80,18,18,4.0,WETH,SBLX,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/SAITO-B57B 10000,WETH-6Cc2/SAITO-B57B,uniswap_v3,10000.0,0.01,0x02976320EF83e1413a9307B34C463A19Ab484B5E,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xFa14Fa6958401314851A17d6C5360cA29f74B57B,WETH-6Cc2,SAITO-B57B,18,18,4.0,WETH,SAITO,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/RSC-F571 3000,WETH-6Cc2/RSC-F571,uniswap_v3,3000.0,0.003,0x14c60366779F528869f97e786Fef6612E4DC465B,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xD101dCC414F310268c37eEb4cD376CcFA507F571,WETH-6Cc2,RSC-F571,18,18,4.0,WETH,RSC,,,,,,,60.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/RSC-F571 10000,WETH-6Cc2/RSC-F571,uniswap_v3,10000.0,0.01,0xeC2061372a02D5e416F5D8905eea64Cab2c10970,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xD101dCC414F310268c37eEb4cD376CcFA507F571,WETH-6Cc2,RSC-F571,18,18,4.0,WETH,RSC,,,,,,,200.0,uniswap_v3,0
,,0,uniswap_v3 WETH-6Cc2/RPL-A51f 3000,WETH-6Cc2/RPL-A51f,uniswap_v3,3000.0,0.003,0xe42318eA3b998e8355a3Da364EB9D48eC725Eb45,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xD33526068D116cE69F19A9ee46F0bd304F21A51f,WETH-6Cc2,RPL-A51f,18,18,4.0,WETH,RPL,,,,,,,60.0,uniswap_v3,0
