cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_key,tkn1_key,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,timestamp,tkn0_balance,tkn1_balance,liquidity,sqrt_price_q96,tick,0
218408fc-699f-443c-a839-2bf1a6e0fac0,2023-05-06 19:23:35.178839,0,uniswap_v3 BPLC-21b4/USDT-1ec7 3000,BPLC-21b4/USDT-1ec7,uniswap_v3,3000.0,0.003,0xe254e46122132d8D79cC808ED4b1b61e44228CDf,,0x426FC8BE95573230f6e6bc4af91873F0c67b21b4,0xdAC17F958D2ee523a2206206994597C13D831ec7,BPLC-21b4,USDT-1ec7,18.0,6.0,4,BPLC,USDT,,,,,,,
2196e031-a184-4abe-a083-0679402df163,2023-05-06 19:12:34.244051,0,uniswap_v3 XMT-721e/USDT-1ec7 10000,XMT-721e/USDT-1ec7,uniswap_v3,10000.0,0.01,0xb143BBEb287Dcd1034DA6E7186eC695316FfF78f,,0x3E5D9D8a63CC8a88748f229999CF59487e90721e,0xdAC17F958D2ee523a2206206994597C13D831ec7,XMT-721e,USDT-1ec7,18.0,6.0,4,XMT,USDT,,,,,,,
2199dd6c-cdad-4668-9848-74a5393e5018,2023-05-06 19:37:05.121723,0,uniswap_v2 CHANGE-2754/USDC-eB48 0.003,CHANGE-2754/USDC-eB48,uniswap_v2,0.003,0.003,0x9247f812FF1037E15BE98F12f76f4B011AbF4d8B,,0x7051faED0775f664a0286Af4F75ef5ed74e02754,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,CHANGE-2754,USDC-eB48,18.0,6.0,3,CHANGE,USDC,,,,,,,
21ad5f1c-6cac-46e4-a6d5-5a6558844100,2023-05-06 19:03:57.726343,17281795,uniswap_v3 WETH-6Cc2/LUNA-1ea9 10000,WETH-6Cc2/LUNA-1ea9,uniswap_v3,10000.0,0.01,0x16b70F44719b227278A2DC1122E8106cC929eCD1,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd2877702675e6cEb975b4A1dFf9fb7BAF4C91ea9,WETH-6Cc2,LUNA-1ea9,18.0,18.0,4,WETH,LUNA,15:35:12,,,59913238745177219443967,344480113332770450776386735305128,167557.0,
21b41c11-f3bd-4f8c-abc8-d223208c1a51,2023-05-06 19:32:27.877200,17281525,uniswap_v2 WETH-6Cc2/UDO-dC06 0.003,WETH-6Cc2/UDO-dC06,uniswap_v2,0.003,0.003,0xaB3B031512a08C85D52c6e7C4f50170F01bF19e8,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xea3983Fc6D0fbbC41fb6F6091f68F3e08894dC06,WETH-6Cc2,UDO-dC06,18.0,18.0,3,WETH,UDO,15:34:26,38085687016677238602,10913988981896144516624889,,,,
21dfd38d-f830-478a-8e84-5e3f1768161b,2023-05-06 19:35:01.519326,0,uniswap_v2 OTHR-C334/USDC-eB48 0.003,OTHR-C334/USDC-eB48,uniswap_v2,0.003,0.003,0x4c3C16527f66e887241154e96f6bAcabb3128abb,,0x407a3E019c655B779ccD098Ff50377E4C5F1C334,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,OTHR-C334,USDC-eB48,9.0,6.0,3,OTHR,USDC,,,,,,,
21f3ea68-6abd-44c6-b782-9e488a01aa74,2023-05-06 18:57:26.414623,17282012,uniswap_v3 DAI-1d0F/USDC-eB48 100,DAI-1d0F/USDC-eB48,uniswap_v3,100.0,0.0001,0x5777d92f208679DB4b9778590Fa3CAB3aC9e2168,,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,DAI-1d0F,USDC-eB48,18.0,6.0,4,DAI,USDC,15:34:52,,,537485132904061260366783,79227968718348522642208,-276325.0,
21f58c78-c503-4d80-810a-7ca374103732,2023-05-06 19:28:47.909522,0,uniswap_v2 UNO-1A77/WETH-6Cc2 0.003,UNO-1A77/WETH-6Cc2,uniswap_v2,0.003,0.003,0x90f1bDf7F72102B2724b4d2D9c12f00270E4D376,,0x474021845C4643113458ea4414bdb7fB74A01A77,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,UNO-1A77,WETH-6Cc2,18.0,18.0,3,UNO,WETH,,,,,,,
2208818c-c356-4922-a07a-ec7faf8ab08e,2023-05-06 19:45:26.969294,17281101,uniswap_v2 FRAX-b99e/WETH-6Cc2 0.003,FRAX-b99e/WETH-6Cc2,uniswap_v2,0.003,0.003,0xFD0A40Bc83C5faE4203DEc7e5929B446b07d1C76,,0x853d955aCEf822Db058eb8505911ED77F175b99e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,FRAX-b99e,WETH-6Cc2,18.0,18.0,3,FRAX,WETH,15:34:00,5745999635160604082363,3077738278609536001,,,,
221cd667-19e7-4084-8304-0d67bbfc4138,2023-05-06 19:28:13.283822,17281550,uniswap_v2 PROS-4B56/USDC-eB48 0.003,PROS-4B56/USDC-eB48,uniswap_v2,0.003,0.003,0x3155acd9f75915FCc21d34035f440dA7040Bd3bA,,0x8642A849D0dcb7a15a974794668ADcfbe4794B56,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,PROS-4B56,USDC-eB48,18.0,6.0,3,PROS,USDC,15:34:27,331523976959088535999244,134159744079,,,,
223f3923-fb25-4af5-95a1-77f979a55e2e,2023-05-06 19:32:44.443994,0,uniswap_v2 POOL-844e/WETH-6Cc2 0.003,POOL-844e/WETH-6Cc2,uniswap_v2,0.003,0.003,0x85Cb0baB616Fe88a89A35080516a8928F38B518b,,0x0cEC1A9154Ff802e7934Fc916Ed7Ca50bDE6844e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,POOL-844e,WETH-6Cc2,18.0,18.0,3,POOL,WETH,,,,,,,
22493921-9b37-4071-b93f-66f39fb967db,2023-05-06 19:38:03.843907,0,uniswap_v2 PLUG-976a/USDC-eB48 0.003,PLUG-976a/USDC-eB48,uniswap_v2,0.003,0.003,0x1FeAD6B98371793a0897B3d1A9402e4bB9906775,,0x47DA5456bC2e1ce391b645Ce80F2E97192e4976a,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,PLUG-976a,USDC-eB48,18.0,6.0,3,PLUG,USDC,,,,,,,
224ff61d-9acb-4e04-8b98-6b713f982be3,2023-05-06 19:43:08.553511,0,uniswap_v2 HGET-5148/USDT-1ec7 0.003,HGET-5148/USDT-1ec7,uniswap_v2,0.003,0.003,0x4D5EBb22982ffEccB7B3e42a624555Cb313285f0,,0x7968bc6a03017eA2de509AAA816F163Db0f35148,0xdAC17F958D2ee523a2206206994597C13D831ec7,HGET-5148,USDT-1ec7,6.0,6.0,3,HGET,USDT,,,,,,,
228c86aa-2b4c-42dc-8782-c0c8374a39da,2023-05-06 19:32:08.604269,0,uniswap_v2 KUMA-3E02/WETH-6Cc2 0.003,KUMA-3E02/WETH-6Cc2,uniswap_v2,0.003,0.003,0xDF60E6416Fcf8C955FdDF01148753A911F7A5905,,0x48C276e8d03813224bb1e55F953adB6d02FD3E02,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,KUMA-3E02,WETH-6Cc2,18.0,18.0,3,KUMA,WETH,,,,,,,
