cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_key,tkn1_key,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,timestamp,tkn0_balance,tkn1_balance,liquidity,sqrt_price_q96,tick,tick_spacing,exchange
,,0.0,uniswap_v2 TUMB-CA72/WETH-6Cc2 0.003,TUMB-CA72/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x1367Fe28BadFE7B66a34F2d013357363B81BA344,,0x97aD482235A1694ee114CE0d6bdf7DF7A03bCA72,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TUMB-CA72,WETH-6Cc2,9.0,18.0,,TUMB,WETH,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 TURBO-20D3/WETH-6Cc2 0.003,TURBO-20D3/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x455d4d19aCA31C7530D75a32f98cf28d98365587,,0xA35923162C49cF95e6BF26623385eb431ad920D3,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TURBO-20D3,WETH-6Cc2,18.0,18.0,,TURBO,WETH,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 TUSD-b376/QRX-14D8 0.003,TUSD-b376/QRX-14D8,uniswap_v2,3000.0,0.003,0x8A5D5864CcCa335EC997BDf42dBD32CCec0B1d5E,,0x0000000000085d4780B73119b644AE5ecd22b376,0x6e0daDE58D2d89eBBe7aFc384e3E4f15b70b14D8,TUSD-b376,QRX-14D8,18.0,18.0,3.0,TUSD,QRX,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 TUSD-b376/WETH-6Cc2 0.003,TUSD-b376/WETH-6Cc2,uniswap_v2,3000.0,0.003,0xb4d0d9df2738abE81b87b66c80851292492D1404,,0x0000000000085d4780B73119b644AE5ecd22b376,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TUSD-b376,WETH-6Cc2,18.0,18.0,3.0,TUSD,WETH,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 TUSD-b376/WETH-6Cc2 0.003,TUSD-b376/WETH-6Cc2,sushiswap_v2,3000.0,0.003,0x760166FA4f227dA29ecAC3BeC348f5fA853a1f3C,,0x0000000000085d4780B73119b644AE5ecd22b376,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TUSD-b376,WETH-6Cc2,18.0,18.0,,TUSD,WETH,,,,,,,60.0,sushiswap_v2
,,0.0,uniswap_v2 TUX-d041/WETH-6Cc2 0.003,TUX-d041/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x3c6A5e2bf07e0fDd16d77743A7180881fE8b9733,,0x6C42741f0a1F5e1335e31B885D9CCe328d44d041,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TUX-d041,WETH-6Cc2,9.0,18.0,,TUX,WETH,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 TUZKI-D9B7/WETH-6Cc2 0.003,TUZKI-D9B7/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x054fe34709a15De22840C1AD53E0527ddFED6D2f,,0x871a3251CFfD723A9897e1092918B5ED5177D9B7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TUZKI-D9B7,WETH-6Cc2,18.0,18.0,,TUZKI,WETH,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 TWAN-39FE/WETH-6Cc2 0.003,TWAN-39FE/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x976583b279cE7dc8F5eF3F7Dd5f984730CE3b5A1,,0x71e1B8b9302C382611B5EA528aA349AB621B39FE,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TWAN-39FE,WETH-6Cc2,9.0,18.0,,TWAN,WETH,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 TWEETY-D0d4/WETH-6Cc2 0.003,TWEETY-D0d4/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x3Ec8e575bEC8785AD48d59569115FcB0E5626D28,,0x8F0634fB48DE64a3425E5e3E493509660701D0d4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TWEETY-D0d4,WETH-6Cc2,9.0,18.0,,TWEETY,WETH,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 TWTC-1244/WETH-6Cc2 0.003,TWTC-1244/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x667B70F4593766aF85778345c38F90495b18A535,,0x5E5A6618fd4bCf74A665aCA1bdA3Ae76E0961244,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TWTC-1244,WETH-6Cc2,9.0,18.0,,TWTC,WETH,,,,,,,60.0,uniswap_v2
